Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-28,833.62,lf,0,0,0,0,0,0,1,0,0,0,0,0,7.073624684004112,3.99050297877776,20,-2.56375191071673,0.00464116068344822,0.23826566179709188,1.080497,0,Future,1,1,0.01,0.5,0,0.0025173315636559113,1,-1.5473442072422963,-2.725575643952254,0.221289,-0.281289,0,0
2024-03-27,829.76,lf,0,0,0,0,0,0,1,0,0,0,0,0,7.237000340509094,3.928098725716689,20,-2.3147155755128863,0.003984983114590612,0.2426573874991785,1.080497,0,Future,1,1,0.01,0.5,0,0.002483270284437934,1,-1.5043107428489386,-2.353548549672539,0.221289,-0.281289,0,0
2024-03-26,826.46,lf,0,0,0,0,0,0,1,0,0,0,0,0,7.6472754249152874,3.8135700154290553,20,-1.7104177744941433,-0.022137769722913703,0.2473276565136995,1.080497,0,Future,1,1,0.01,0.5,0,0.0024461071830565806,1,-1.0373189690704716,-1.8133773217531008,0.221289,-0.281289,0,0
2024-03-25,844.96,lf,0,0,0,0,0,0,1,0,0,0,0,0,8.521988781602179,3.6883087313465426,20,-0.4815026568703648,0.007436214968256749,0.2402349409549078,1.080497,0,Future,1,1,0.01,0.5,0,0.0024631886832488436,1,0.042219109612003855,-0.8447235377292786,0.221289,-0.281289,0,0
2024-03-24,838.7,lf,0,0,0,0,0,0,1,0,0,0,0,0,8.45014667106701,3.518547155785594,20,-0.4924113498034507,2.3849272710219083e-4,0.24382931196535373,1.080497,0,Future,1,1,0.01,0.5,0,0.002444992032033258,1,-0.03263529211675746,-0.7880502908889938,0.221289,-0.281289,0,0
2024-03-22,838.5,lf,0,0,0,0,0,0,1,0,0,0,0,0,8.847024190399466,3.371033266047498,20,0.11051562084220816,-0.0018468326121476863,0.24894160685116923,1.080497,0,Future,1,1,0.01,0.5,0,0.002395352586604052,1,0.45265187578359156,-0.2684591743799113,0.221289,-0.281289,0,0
2024-03-21,840.05,lf,0,0,0,0,0,0,1,0,0,0,0,0,9.488594652532408,3.2666176953526453,20,1.0181506890335548,-0.011410163205233026,0.25412890093447726,1.080497,0,Future,1,1,0.01,0.5,0,0.002342128991701769,1,1.2285254875417277,0.4683923275141968,0.221289,-0.281289,0,0
2024-03-20,849.69,lf,0,0,0,0,0,0,1,0,0,0,0,0,10.340938615877961,3.134762342101938,20,2.220536983452979,-0.022540590680431016,0.25646203583771443,1.080497,0,Future,1,1,0.01,0.5,0,0.0022944912814773415,1,2.3027201787744245,1.3981747936472075,0.221289,-0.281289,0,0
2024-03-19,869.06,lf,0,0,0,0,0,0,1,0,0,0,0,0,10.983173836426658,3.004108339796693,20,3.1421776120038625,-0.006628844733276296,0.24984502213375898,1.080497,0,Future,1,1,0.01,0.5,0,0.002302764587010246,1,3.1823519534821987,2.054610733190906,0.221289,-0.281289,0,0
2024-03-18,874.84,lf,0,0,0,0,0,0,1,0,0,0,0,0,10.541173293049972,2.892406116700682,20,2.60869466571629,0.018912574971130525,0.25401655745471696,1.080497,0,Future,1,1,0.01,0.5,0,0.0022499835682426956,1,2.678089416515787,1.6697350263446968,0.221289,-0.281289,0,0
