Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-12,2.5274,lo,0,0,0,0,0,0,250,0,0,0,-0,0,-3.4997117841974235,10.102276015493477,-9.44246978867172,-4.996185492340775,0.004799025610312091,0.19446183478425508,1.090631,0,Future,1,250,0.1,0.0028,0,0.005697045278267305,1,-2.86709644624533,-2.8428298307155555,-0.103448,0.043448,0,0
2024-07-11,2.5153,lo,0,0,0,0,0,0,250,0,0,0,-0,0,-3.9414662785341092,10.077847866303593,-9.290138887338124,-5.649142860861547,0.0017110005566832731,0.19765043582961125,1.090631,0,Future,1,250,0.1,0.0028,0,0.0056321013869244495,1,-3.463583787510105,-2.992579482045948,-0.103448,0.043448,0,0
2024-07-10,2.511,lo,0,0,0,0,0,0,250,0,0,0,-0,0,-3.3651315125797727,10.134244075853655,-9.109442883752182,-4.9992426128237675,-5.971932097461607e-4,0.20157105362338787,1.090631,0,Future,1,250,0.1,0.0028,0,0.00553201249964834,1,-3.2633512363350614,-2.4500688926063874,-0.103448,0.043448,0,0
2024-07-09,2.5125,lo,0,0,0,0,0,0,250,0,0,0,-0,0,-1.6169932985986686,10.233810514937739,-8.92753222037062,-2.8091302120817843,-0.020212259510703046,0.2056783391730813,1.090631,0,Future,1,250,0.1,0.0028,0,0.005418304451392474,1,-2.0478835489485085,-1.1625509791449595,-0.103448,0.043448,0,0
2024-07-08,2.5638,lo,0,0,0,0,0,0,250,0,0,0,0,0,1.9774917776364114,10.28897315058156,-9.316182052946848,2.1502601546978592,-0.008118914171083014,0.19709790873174085,1.090631,0,Future,1,250,0.1,0.0028,0,0.005541047483630276,1,1.1011288125726537,1.3563113642249,-0.103448,0.043448,0,0
2024-07-07,2.5847,lo,0,0,0,0,0,0,250,0,0,0,0,0,3.928853013227794,10.350495606792451,-9.22933217364892,4.67788896773196,-0.008283774661688281,0.19895263985000092,1.090631,0,Future,1,250,0.1,0.0028,0,0.005445003740796291,1,2.7610089947532126,2.585149825511884,-0.103448,0.043448,0,0
2024-07-05,2.6062,lo,0,0,0,0,0,0,250,0,0,0,0,0,5.45131365466835,10.34494900727226,-9.143884355947216,6.667885880561944,-0.0018400679883233684,0.20081181350524505,1.090631,0,Future,1,250,0.1,0.0028,0,0.005350089320291636,1,4.145698233278501,3.4747427730780065,-0.103448,0.043448,0,0
2024-07-04,2.611,lo,0,0,0,0,0,0,250,0,0,0,0,0,5.822007099580293,10.292820673720849,-8.966580869070407,7.099556230448503,-4.212058035506505e-4,0.20478262860861973,1.090631,0,Future,1,250,0.1,0.0028,0,0.005236704237402753,1,4.612256615546563,3.50152193353744,-0.103448,0.043448,0,0
2024-07-03,2.6121,lo,0,0,0,0,0,0,250,0,0,0,0,0,5.857403126190368,10.225244459508732,-8.786604826377932,7.090551018355091,-0.0011478421829604901,0.20897719156409691,1.090631,0,Future,1,250,0.1,0.0028,0,0.005129432790447538,1,4.765302204038746,3.338184674081359,-0.103448,0.043448,0,0
2024-07-02,2.6151,lo,0,0,0,0,0,0,250,0,0,0,0,0,5.5381819662604945,10.072083327770187,-8.609912214093054,6.653157064842093,0.006252537679264147,0.21326582133955246,1.090631,0,Future,1,250,0.1,0.0028,0,0.005020517335778741,1,4.520247683945825,3.083360390159424,-0.103448,0.043448,0,0
2024-07-01,2.5988,lo,0,0,0,0,0,0,250,0,0,0,0,0,4.212331669483625,9.990789246085976,-8.47768465361673,4.859889929743543,0.02501396635841202,0.21659215635210546,1.090631,0,Future,1,250,0.1,0.0028,0,0.004974419969767208,1,3.015289926518902,2.5388699931880043,-0.103448,0.043448,0,0
