Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-04,66208.75,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-15.720813620456076,-18.176505087809073,-13.435174109058579,-5.1552452288409425,-0.005946751414247942,0.15072376312820962,20.66136,0,Index,1,0.1,0.01,10,0,0.0010020811268928325,1,-3.9454438387465856,-4.646631542654986,-0.111,0.051,0,0
2024-03-01,66603.65,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-15.315166268743356,-18.057649308761523,-13.268887808298002,-4.7569531331280475,0.0073002071833432325,0.15261264012901063,20.66136,0,Index,1,0.1,0.01,10,0,9.838105252914767e-4,1,-3.656359920205882,-4.2718953016741965,-0.111,0.051,0,0
2024-02-29,66119.2,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-15.485946410080109,-17.942118632882487,-13.157488918955254,-5.098124770854608,0.006250665138855638,0.1539047467547319,20.66136,0,Index,1,0.1,0.01,10,0,9.826987307887376e-4,1,-4.0301821474485,-4.466692470642513,-0.111,0.051,0,0
2024-02-28,65707.2,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-14.991386504537351,-17.886235142721464,-12.99815439562822,-4.54632057020829,-0.014716045266105482,0.15579134839951472,20.66136,0,Index,1,0.1,0.01,10,0,9.76885588923808e-4,1,-3.5972521278924394,-3.9799488224547104,-0.111,0.051,0,0
2024-02-27,66681.3,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-13.852589263935682,-17.821946881420125,-13.415236697965964,-2.8515272288878672,-0.008245594069878237,0.15094776526060347,20.66136,0,Index,1,0.1,0.01,10,0,9.93503162942102e-4,1,-2.074972146455711,-2.6775732350240675,-0.111,0.051,0,0
2024-02-26,67233.4,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-13.219548366406855,-17.755300185384957,-13.364200683017424,-2.066314054341281,-0.007731061718789789,0.1515242136832973,20.66136,0,Index,1,0.1,0.01,10,0,9.815962416840679e-4,1,-1.3871526320608671,-2.0567041251746017,-0.111,0.051,0,0
2024-02-23,67755.2,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-13.23072770761664,-17.68629545191822,-13.283114962475256,-2.1562650696254506,0.0020831894208175328,0.15244918121394088,20.66136,0,Index,1,0.1,0.01,10,0,9.681268661936243e-4,1,-1.3583460452308924,-2.2354290708115254,-0.111,0.051,0,0
2024-02-22,67614.2,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-14.026766511248018,-17.61562853044141,-13.020709860669452,-3.384186152775263,0.01924961241140899,0.15552147476357986,20.66136,0,Index,1,0.1,0.01,10,0,9.509807374942501e-4,1,-2.311860979776673,-3.3284492748487655,-0.111,0.051,0,0
2024-02-21,66325.1,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-15.539871884402555,-17.53869303137705,-14.027828510430094,-4.9365684082998325,-3.542525797612939e-4,0.14435591356811597,20.66136,0,Index,1,0.1,0.01,10,0,0.0010444496459409856,1,-3.972532682281113,-4.255081331551941,-0.111,0.051,0,0
2024-02-20,66348.6,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-14.86367721280648,-17.454758708631175,-13.744163888171421,-4.218774985340673,-0.01091109875857299,0.14733526291422983,20.66136,0,Index,1,0.1,0.01,10,0,0.001022966788486493,1,-3.4493748360848366,-3.581916806149618,-0.111,0.051,0,0
2024-02-19,67076.5,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-14.165610373360646,-17.37324898917918,-13.909633837167178,-3.246039084641015,-0.003261096524839857,0.14558255261825134,20.66136,0,Index,1,0.1,0.01,10,0,0.001024047912654525,1,-2.712000016460682,-2.6980651246076772,-0.111,0.051,0,0
2024-02-16,67295.6,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-14.089414376569959,-17.29730801383754,-13.66614148677865,-3.3041610851185172,0.00848069107753524,0.14817642580088108,20.66136,0,Index,1,0.1,0.01,10,0,0.0010028459283107352,1,-2.9038505168541313,-2.603084625010064,-0.111,0.051,0,0
2024-02-15,66727.3,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-14.555904947819908,-17.216827699727844,-13.643626105511713,-3.977646361140099,0.006624136486534482,0.14842095380948223,20.66136,0,Index,1,0.1,0.01,10,0,0.0010097206298657826,1,-3.74155134626674,-2.887859255633425,-0.111,0.051,0,0
2024-02-14,66286.75,lx,0,0,0,0,0,0,0.1,0,0,0,-0,0,-14.331931767759075,-17.133758537529165,-13.517913546550844,-3.7834063149720984,-0.0026576306848618003,0.14980122435512155,20.66136,0,Index,1,0.1,0.01,10,0,0.001007065946436391,1,-3.85002993051044,-2.455647261109725,-0.111,0.051,0,0
