Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-02-21,4.4275,ng,0,0,0,0,0,0,150,0,0,0,487.26641854860173,487.26641854860173,20,4.9541213781239115,20,16.416435804667135,0.028174103558979313,0.6588571443015202,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0010284221581861582,1,10.661848270905017,8.099792648714567,1.33565,-1.39565,2760,1047.2679942349196
2025-02-20,4.3045,ng,0,0,0,0,0,0,150,0,0,0,494.14436991431745,494.14436991431745,20,5.2354484758888935,20,15.195561392206491,-0.04018524868813356,0.6682512001498557,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0010429387292408556,1,10.16090964417631,7.2054462326311075,1.33565,-1.39565,2760,1032.5458448039706
2025-02-19,4.481,ng,0,0,0,0,0,0,150,0,0,0,472.2870060250906,472.2870060250906,20,5.660940876271654,20,14.802447634245597,0.09056803829373994,0.6716381707757667,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,9.968066821973208e-4,1,9.686420243935233,7.230662766631164,1.33565,-1.39565,2760,1027.3388708730247
2025-02-18,4.093,ng,0,0,0,0,0,0,150,0,0,0,559.0183384437129,559.0183384437129,20,6.00885114336689,20,11.241814395893169,0.09932506964709797,0.621224408775803,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.001179861415035274,1,7.136840474348418,5.710947406672347,1.33565,-1.39565,2760,1110.7097375000567
2025-02-17,3.706,ng,0,0,0,0,0,0,150,0,0,0,625.0538930806813,705.2542298811064,17.72563329924457,6.2305988909544645,20,7.142567182230849,-0.007526917256362786,0.5438325483528302,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.001488506183792964,1,4.76769473577239,3.395239186777152,1.33565,-1.39565,2760,1268.7729009414468
2025-02-16,3.734,ng,0,0,0,0,0,0,150,0,0,0,655.6729115892405,685.4045342217106,19.132435776304547,6.202720327699767,20,8.764280723355311,-0.04656870705304006,0.5553861232407321,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0014466115116540958,1,5.739540489895811,4.276780336795973,1.33565,-1.39565,2760,1242.3788984387706
2025-02-14,3.912,ng,0,0,0,0,0,0,150,0,0,0,665.5055209141234,665.5055209141234,20,6.195250636525521,20,11.526682735112878,0.022490284894071566,0.5459662570238758,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0014046127499242789,1,7.424039235916723,5.749312461355138,1.33565,-1.39565,2760,1263.814367871869
2025-02-13,3.825,ng,0,0,0,0,0,0,150,0,0,0,671.9558959689984,671.9558959689984,20,6.0934489305780835,20,9.91478723116781,0.003011064656343043,0.5530241573390399,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0014182268804748806,1,6.441777557301875,4.889407849747053,1.33565,-1.39565,2760,1247.6850980977763
2025-02-12,3.8135,ng,0,0,0,0,0,0,150,0,0,0,633.9205770197201,659.3187509312788,19.229563124795582,6.02430057025297,20,8.96449328606847,0.026572574494942103,0.5653236225096464,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.001391554982970196,1,5.825233106854955,4.419902077223295,1.33565,-1.39565,2760,1220.5398333380738
2025-02-11,3.7135,ng,0,0,0,0,0,0,150,0,0,0,594.3565541603597,670.0030094395522,17.741907000015726,5.953632700210589,20,7.29964879276982,0.01765870390367641,0.5712893518907921,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0014141051275634278,1,4.538874536328444,3.8035812268370655,1.33565,-1.39565,2760,1207.7942599775615
2025-02-10,3.6485,ng,0,0,0,0,0,0,150,0,0,0,562.6680910140094,670.2953446356289,16.788661759835872,5.912389437729885,20,6.230847292376053,0.0010969423834070735,0.5812135858893741,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0014147221288215047,1,3.7231461346049537,3.3978221995391067,1.33565,-1.39565,2760,1187.1711480112097
2025-02-09,3.6445,ng,0,0,0,0,0,0,150,0,0,0,533.339714621894,656.1710328878348,16.256118843730263,5.9732132408862935,20,5.591814915248584,0.021354111471276305,0.5943760510979792,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0013849114244150163,1,3.3803727705911983,3.0102728468357545,1.33565,-1.39565,2760,1160.8812278445212
2025-02-07,3.5675,ng,0,0,0,0,0,0,150,0,0,0,496.6363117049961,659.8218366410305,15.053648852642812,6.029051664183517,20,4.189644285214309,-0.020530614306978556,0.6038452369641606,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0013926167932482704,1,2.7187808572959344,2.0693840400918475,1.33565,-1.39565,2760,1142.676894280037
2025-02-06,3.6415,ng,0,0,0,0,0,0,150,0,0,0,506.6594370659328,635.7089166177053,15.939982083674984,6.193375388314789,20,5.120434687185443,0.006059789924773851,0.6140131804205332,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0013417241802821977,1,3.203007879394516,2.648917477388847,1.33565,-1.39565,2760,1123.7543785744533
2025-02-05,3.6195,ng,0,0,0,0,0,0,150,0,0,0,451.2277354296512,625.4393515073671,14.429144387610098,6.271242176629013,20,3.354829640382747,0.03657743527598978,0.6278884978049041,1.03,0.05555555555555555,Future,1,150,0.1,0.003,0,0.0013200492855790775,1,2.508598604725403,1.3254924128548788,1.33565,-1.39565,2760,1098.9212295052985
