Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-28,40351.84,ny,0,0,0,0,0,0,8.472003615073207,0,0,0,40.226373342202365,67.77602892058566,11.870383668932948,-0.6062022560311072,-0.12475176479343264,16.1926552356562,1.4820744608456948e-4,0.15430643431677835,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.0011242183282522628,1,15.880666428382838,11.10709229771083,-0.03077,-0.02923,2066.6666666666665,8370.789412546348
2024-03-27,40345.86,ny,0,0,0,0,0,0,8.290069659828315,0,0,0,39.861660615420796,66.32055727862652,12.020906413060924,-0.741280422915275,-0.1220546640914767,16.45954276091794,-0.004149920313381017,0.15771621791996937,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.0011000760478295031,1,16.17428238752251,11.258288880674062,-0.03077,-0.02923,2066.6666666666665,8189.815123021163
2024-03-26,40513.64,ny,0,0,0,0,0,0,8.1072676739505,0,0,0,39.756387450052245,64.858141391604,12.259490203399132,-0.8501032526127049,-0.11985964846260196,16.83096838840316,0.0025287637961142195,0.16060450908135518,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.001075818581437596,1,16.601429451933715,11.450184528738221,-0.03077,-0.02923,2066.6666666666665,8042.530524546886
2024-03-25,40411.32,ny,0,0,0,0,0,0,7.960945160650398,0,0,0,39.12058955260757,63.68756128520318,12.2851585971142,-1.020927083908104,-0.11739913352365725,16.949374571534815,-0.009244387888820427,0.16397054579726436,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.0010564018697880359,1,16.776992484517734,11.471965134706954,-0.03077,-0.02923,2066.6666666666665,7877.431037301678
2024-03-24,40786.63,ny,0,0,0,0,0,0,7.848033980501762,0,0,0,39.405423733553604,62.78427184401409,12.552641792662776,-1.1692739558267577,-0.11680889638906444,17.37989714965828,0.001075194668292312,0.1647990914654525,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.0010414187767730794,1,17.305580848993017,11.660914400437449,-0.03077,-0.02923,2066.6666666666665,7837.826381084413
2024-03-22,40742.8,ny,0,0,0,0,0,0,7.685668531765914,0,0,0,37.07862598944308,61.48534825412731,12.060963153755615,-1.4878795578896487,-0.11426934686617304,16.8823586573854,-0.00677086429658047,0.16846162621848798,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.0010198731989337375,1,16.770979256380038,11.366285172595633,-0.03077,-0.02923,2066.6666666666665,7667.423707470488
2024-03-21,41019.6,ny,0,0,0,0,0,0,7.528761064358902,0,0,0,34.45136366740682,60.23008851487121,11.439917993446263,-1.8769405229662517,-0.1126969488800024,16.24804272718481,0.00982637340734449,0.1708120778007667,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,9.990518845536583e-4,1,16.05350585711047,11.026565354864216,-0.03077,-0.02923,2066.6666666666665,7561.916483290204
2024-03-20,40618.5,ny,0,0,0,0,0,0,7.565686973832304,0,0,0,30.70440833388156,60.52549579065843,10.145941948193181,-2.421120910430757,-0.11214230352090142,14.794554204566738,0.012323739841102466,0.17165689838368733,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.001003951880599874,1,14.488153044321272,10.169437296623295,-0.03077,-0.02923,2066.6666666666665,7524.7000198007445
2024-03-19,40121,ny,0,0,0,0,0,0,7.6984937048010895,0,0,0,26.841928818710763,61.587949638408716,8.716617122766191,-3.000842480843035,-0.11271318728332008,13.178933997751432,0.013643408420707104,0.17078746918594784,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.001021575074339397,1,12.992257327371421,8.97263266888097,-0.03077,-0.02923,2066.6666666666665,7563.00607312321
2024-03-18,39577.33,ny,0,0,0,0,0,0,7.898457586338334,0,0,0,23.807018023414795,63.18766069070667,7.5353376792808575,-3.2135295568467512,-0.11407382531253935,11.710918596787455,0.014847922097624533,0.16875036799422538,163.358994,0.047619047619047616,Index,1,1,0.01,7,0,0.001048109890756693,1,11.729945098009908,7.788252563302517,-0.03077,-0.02923,2066.6666666666665,7654.30429586303
