Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-07-11,0.610745,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,9.234500520677134,16.32910768088637,6.487695519783997,0.9042657605676614,0.0032800626378811093,0.07345828708309467,1.087075,0,Future,1,800,1,1.5e-4,0,0.0033434169641388726,1,0.3613515004027871,0.6720950831031118,-0.010937,-0.012825,0,0
2024-07-10,0.608745,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,8.740953932103423,16.294426798181917,6.42946893883761,0.2926573742948001,-0.006484119488224915,0.07412354030069557,1.087075,0,Future,1,800,1,1.5e-4,0,0.003324296083702736,1,-0.010033048430237187,0.3444986190528659,-0.010937,-0.012825,0,0
2024-07-09,0.612705,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,11.672936642107622,16.260959885992687,6.602997021414781,4.13193706910643,-5.873859049423391e-4,0.07217555883402281,1.087075,0,Future,1,800,1,1.5e-4,0,0.0033919518562147218,1,2.133902016425545,2.588311776838945,-0.010937,-0.012825,0,0
2024-07-08,0.613065,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,11.109212328616636,16.224727296563287,6.470219666146284,3.464809623467396,0.0038307397967152212,0.0736566955359418,1.087075,0,Future,1,800,1,1.5e-4,0,0.003321792536651633,1,1.792894677567895,2.1668877492519862,-0.010937,-0.012825,0,0
2024-07-05,0.610721,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,9.168589740189159,16.185247409953856,6.440502355518458,0.9119114375160557,0,0.07399655705298407,1.087075,0,Future,1,800,1,1.5e-4,0,0.003319226523248831,1,0.2758913343877421,0.7662931656306072,-0.010937,-0.012825,0,0
2024-07-04,0.610721,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,8.183709560511632,16.145068268593253,6.307071188361889,-0.31445698112872883,0.004101923644224736,0.07556201377263651,1.087075,0,Future,1,800,1,1.5e-4,0,0.0032504604170343595,1,-0.34329148828737727,-0.016087918716884225,-0.010937,-0.012825,0,0
2024-07-03,0.608221,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,5.953051284039308,16.104324824740885,6.284572870477616,-3.2570471355568396,0.002866551014885532,0.0758325203354323,1.087075,0,Future,1,800,1,1.5e-4,0,0.003252178376493254,1,-1.965745500106006,-1.7565940833875244,-0.010937,-0.012825,0,0
2024-07-02,0.60648,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,5.397270889725593,16.067696068369024,6.205026436206929,-3.940000065987186,-0.00565604927773411,0.07680466874712066,1.087075,0,Future,1,800,1,1.5e-4,0,0.003220231952971658,1,-2.4783695539503685,-2.0244876643207004,-0.010937,-0.012825,0,0
2024-07-01,0.60992,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,7.143885841321712,16.03166115383204,6.276439252857569,-1.6288690815825229,0.0023818348425285185,0.0759307914567997,1.087075,0,Future,1,800,1,1.5e-4,0,0.0032389217635047586,1,-1.0073956099209977,-0.8541690547447427,-0.010937,-0.012825,0,0
2024-06-28,0.608469,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,6.240485592965154,15.986559059456612,6.181533088662697,-2.763398616772782,7.250326458980161e-4,0.07709657024631432,1.087075,0,Future,1,800,1,1.5e-4,0,0.0031975529424947626,1,-1.7259145282276345,-1.432255319512688,-0.010937,-0.012825,0,0
2024-06-27,0.608028,nzdusd,0,0,0,0,0,0,800,0,0,0,0,0,6.686545263989011,15.947044313139449,6.0570697770673645,-2.086663359784725,-0.006362645108640652,0.07868078419772506,1.087075,0,Future,1,800,1,1.5e-4,0,0.0031354436497489555,1,-1.3285049712658015,-1.0562531542024556,-0.010937,-0.012825,0,0
