Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-11-18,481.13,oj,0,0,0,0,0,0,300,0,0,0,612.4347474865449,814.3879456558576,15.040368678181451,8.999476449986025,9.494614278538137,7.9419474108024355,-0.020062194879235662,0.3174194244849327,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003928758314163121,1,3.7260116759837563,5.350499650647598,0.090551,-0.150551,2346.6666666666665,1848.2380768556732
2024-11-15,490.88,oj,0,0,0,0,0,0,300,0,0,0,692.2887819914001,800.3997767846106,17.298575088875783,9.125870596771703,9.520633534440947,10.446548035965996,-0.006032128615300003,0.3165519383870466,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003861276796237938,1,5.262404335180178,6.67650770592382,0.090551,-0.150551,2346.6666666666665,1853.3030303208948
2024-11-14,493.85,oj,0,0,0,0,0,0,300,0,0,0,643.4752870976229,780.8127764307004,16.48219154504917,9.157400173025326,9.343842753442855,9.58616887396496,0.025387903352961594,0.32254127980584185,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003766785478064056,1,5.082262968154627,5.873358602091041,0.090551,-0.150551,2346.6666666666665,1818.8886303787804
2024-11-13,481.47,oj,0,0,0,0,0,0,300,0,0,0,573.2534969279245,813.7565489520285,14.089066261062268,9.26319814165315,9.493957438357118,6.723212222637457,-0.01386075033945744,0.3174413851724112,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003925712339498422,1,3.5529488706597463,4.13072224092592,0.090551,-0.150551,2346.6666666666665,1848.110215207232
2024-11-12,488.19,oj,0,0,0,0,0,0,300,0,0,0,594.2930007117618,794.794521095165,14.954632548117523,9.399813745136699,9.40215260237467,7.690025452664342,0.010563804800687748,0.32054095774182834,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003834236004425646,1,4.134204267791382,4.654396249539294,0.090551,-0.150551,2346.6666666666665,1830.2393266672104
2024-11-11,483.06,oj,0,0,0,0,0,0,300,0,0,0,521.5567678880616,791.5390689887805,13.178295003286927,9.464234721063374,9.265246640869275,5.6961678942187355,0.004751884272314655,0.325277363551894,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003818531100396133,1,2.9433453492756896,3.566560815545722,0.090551,-0.150551,2346.6666666666665,1803.5889748383033
2024-11-08,480.77,oj,0,0,0,0,0,0,300,0,0,0,461.9476802595341,779.6659299824468,11.84988756068729,9.623021597398795,9.083003229445993,4.1897162273630775,0.020615820547623898,0.3318038014375805,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003761252878345851,1,1.925118654326087,2.8631284626602875,0.090551,-0.150551,2346.6666666666665,1768.1131564040606
2024-11-07,470.96,oj,0,0,0,0,0,0,300,0,0,0,402.8515312010423,796.735760299401,10.112550516112314,9.8088078153001,9.09247017212932,2.106561596127937,6.584467267769512e-4,0.3314583323284325,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.0038436009019589463,1,0.3288138648321768,2.0786851021711796,0.090551,-0.150551,2346.6666666666665,1769.9560078802167
2024-11-06,470.65,oj,0,0,0,0,0,0,300,0,0,0,425.1375610629799,780.5331504746821,10.893517099291223,10.035920860456004,8.901700288868602,2.980923253099096,0.002659434576306019,0.3385617244122076,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003765436510651875,1,0.38750582331186395,3.0192636088013884,0.090551,-0.150551,2346.6666666666665,1732.8204116552315
2024-11-05,469.4,oj,0,0,0,0,0,0,300,0,0,0,466.79592133564796,766.287083787668,12.183316963358692,10.230273490789664,8.716018483431005,4.45064482815674,-0.020767098508830628,0.3457742782130548,1.06,0.05555555555555555,Future,0.01,300,0.01,0.6,0,0.003696710845888192,1,1.0025759084446677,4.083875323734464,0.090551,-0.150551,2346.6666666666665,1696.6752694808083
