Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-11-18,2.02785,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-2.869019442142031,1.3923599117414378,18.386407245833237,-13.168262941235373,0.03293530767617825,0.2631536403663907,1.06,0,Future,1,250,0.1,0.0025,0,0.004684840390194663,1,-6.56542667557912,-8.484016685832733,0.163538,-0.223538,0,0
2024-11-17,1.96215,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-7.149611201606943,1.5179898982613567,19.67675389498163,-18.768356127029428,-0.003104012262230782,0.24589675847061343,1.06,0,Future,1,250,0.1,0.0025,0,0.005181494007941089,1,-10.708121791129008,-10.741428068333192,0.163538,-0.223538,0,0
2024-11-15,1.96825,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-6.340109997547312,1.5932759489874067,19.25900792126153,-17.671981932321398,-0.013975304392873311,0.2512304901572035,1.06,0,Future,1,250,0.1,0.0025,0,0.005055771098253288,1,-10.081540270547478,-10.115010509248403,0.163538,-0.223538,0,0
2024-11-14,1.99595,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-4.849811618143923,1.6060484663849446,19.148925768552644,-15.920128966776135,0.01037452963311114,0.25267474836348014,1.06,0,Future,1,250,0.1,0.0025,0,0.00495710946303272,1,-9.077737308287324,-9.11669579659969,0.163538,-0.223538,0,0
2024-11-13,1.97535,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-5.91410103086368,1.6260194276642679,18.892321001129545,-17.018142821098255,-0.005653868010361829,0.256106700691287,1.06,0,Future,1,250,0.1,0.0025,0,0.00494168445462478,1,-10.061278978754448,-9.3880271025007,0.163538,-0.223538,0,0
2024-11-12,1.98655,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-4.670272899436328,1.7283023189237317,18.51731583579782,-15.460263819573722,0.0020155709627751595,0.2612932696566243,1.06,0,Future,1,250,0.1,0.0025,0,0.004816286184626808,1,-9.237160990912747,-8.431711945742933,0.163538,-0.223538,0,0
2024-11-11,1.98255,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-3.340695186310421,1.846131991001252,18.106052155744944,-13.794029429156437,-0.026627761453724252,0.2672283255554849,1.06,0,Future,1,250,0.1,0.0025,0,0.004718819541164891,1,-8.433025830292221,-7.331579231600848,0.163538,-0.223538,0,0
2024-11-10,2.03605,rb,0,0,0,0,0,0,250,0,0,0,0,0,0.9397314503354286,1.8431356509886772,18.69412658043595,-9.194652315328966,-0.004068234215982125,0.2588219342145466,1.06,0,Future,1,250,0.1,0.0025,0,0.004744063476322081,1,-5.728261186420956,-4.779912888240718,0.163538,-0.223538,0,0
2024-11-08,2.04435,rb,0,0,0,0,0,0,250,0,0,0,0,0,2.4263040844998227,1.7861989087889516,18.299420309039615,-7.2698906552002,-0.01711971976410731,0.26440455043321154,1.06,0,Future,1,250,0.1,0.0025,0,0.004625043618996572,1,-4.72092318478401,-3.5875232783019317,0.163538,-0.223538,0,0
2024-11-07,2.07965,rb,0,0,0,0,0,0,250,0,0,0,0,0,4.247860981262063,1.7606477140501853,18.290980090393802,-5.171115637922493,0.005158378116100537,0.2645265576851781,1.06,0,Future,1,250,0.1,0.0025,0,0.004544441088077756,1,-3.213048085867137,-2.6967983574728547,0.163538,-0.223538,0,0
2024-11-06,2.06895,rb,0,0,0,0,0,0,250,0,0,0,0,0,2.9798444189769393,1.6635134828675717,17.91373591762928,-6.383088221417637,-0.0043646604695340985,0.27009720486268757,1.06,0,Future,1,250,0.1,0.0025,0,0.004473731583100246,1,-3.6728278123778813,-3.622130154956561,0.163538,-0.223538,0,0
2024-11-05,2.078,rb,0,0,0,0,0,0,250,0,0,0,0,0,2.0335141701014186,1.5332164738446075,17.530231812755662,-7.207707948898514,0.009889938066646953,0.27600604781959354,1.06,0,Future,1,250,0.1,0.0025,0,0.004358889575096206,1,-3.714829714541988,-4.522550798484884,0.163538,-0.223538,0,0
2024-11-04,2.05755,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-0.6079055109226333,1.4075048673858226,17.242451633606613,-10.01972740583637,0.013406272660928642,0.28061264736677927,1.06,0,Future,1,250,0.1,0.0025,0,0.004329944901082902,1,-5.182075614941131,-6.269041420300436,0.163538,-0.223538,0,0
2024-11-03,2.03015,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-2.942417891937119,1.3569134078474374,17.044449590173397,-12.56344480408141,0.013288902637505928,0.28387246970940627,1.06,0,Future,1,250,0.1,0.0025,0,0.004337990584438581,1,-6.827057930234277,-7.53116470300162,0.163538,-0.223538,0,0
2024-11-01,2.00335,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-4.245284985128648,1.3375859656248943,16.83806936905954,-13.939581936060671,-0.019867712235719037,0.28735182721665214,1.06,0,Future,1,250,0.1,0.0025,0,0.004342793860941486,1,-7.858571089915441,-8.072379694153897,0.163538,-0.223538,0,0
2024-10-31,2.04355,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-2.944119552956601,1.381020475884991,16.859685901807737,-12.485061249368194,0.01675279425593068,0.286983401006374,1.06,0,Future,1,250,0.1,0.0025,0,0.0042628294989834415,1,-6.9331679688611105,-7.335473458988253,0.163538,-0.223538,0,0
2024-10-30,2.0096,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-5.8446375174445535,1.300226765675593,16.76179408964411,-15.710596161882197,0.02170581060880794,0.2886594343137365,1.06,0,Future,1,250,0.1,0.0025,0,0.004309676090712073,1,-9.241427349753515,-8.71353969239757,0.163538,-0.223538,0,0
2024-10-29,1.96645,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-8.027631393776337,1.2102415902165535,16.862756568908672,-18.21093495816414,-0.006336514332823784,0.2869311420246124,1.06,0,Future,1,250,0.1,0.0025,0,0.004430772111739653,1,-11.245660633765022,-9.566836461279713,0.163538,-0.223538,0,0
2024-10-28,1.97895,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-6.437909323951953,1.2312315416649164,16.513582896356432,-16.230017874955763,-0.018375323010099365,0.29299819611330735,1.06,0,Future,1,250,0.1,0.0025,0,0.0043116176453753255,1,-9.835683415311262,-8.712908441781039,0.163538,-0.223538,0,0
2024-10-27,2.01565,rb,0,0,0,0,0,0,250,0,0,0,-0,0,-3.4728388604386495,1.2665641414503637,16.45969371516014,-12.832087625949422,-0.03677242985921192,0.29395747477023604,1.06,0,Future,1,250,0.1,0.0025,0,0.004219299730305352,1,-7.3906404640686505,-7.274602537016404,0.163538,-0.223538,0,0
