Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-05-13,19.023,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-4.2056837721440345,7.743949797082857,10.088025018399984,-14.523565770600134,-0.027173048584880455,0.26360957622027975,1.07968,0,Future,0.01,5000,1,0.04,0,0.007976636482095055,1,-13.839120206090191,-10.366822744910031,0.076372,-0.136372,0,0
2024-05-10,19.547,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.124632333217516,7.904563101876745,10.52520468133852,-13.381060335897653,-0.015231040239236826,0.2526601696131395,1.07968,0,Future,0.01,5000,1,0.04,0,0.0080992181182954,1,-12.512802936275781,-9.788964290220306,0.076372,-0.136372,0,0
2024-05-09,19.847,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-2.5019909993884326,8.064863279788073,10.525524025197225,-12.631181651677226,-0.003621187883015242,0.25265250391656113,1.07968,0,Future,0.01,5000,1,0.04,0,0.007977035319477441,1,-11.771650411319797,-9.280319008142246,0.076372,-0.136372,0,0
2024-05-08,19.919,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-2.547931852542667,8.113722973759266,10.316736741775179,-12.612472327824111,-0.016678254816956617,0.25776561586880425,1.07968,0,Future,0.01,5000,1,0.04,0,0.007790538437921866,1,-11.626153445018952,-9.394633768021237,0.076372,-0.136372,0,0
2024-05-07,20.254,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-2.6363532498529922,8.20808205538673,10.346962579679236,-12.79265998400364,0.0230239650714954,0.2570126237068541,1.07968,0,Future,0.01,5000,1,0.04,0,0.007684130476264147,1,-11.783892960953269,-9.53720701238613,0.076372,-0.136372,0,0
2024-05-06,19.793,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.8373754300120195,8.31524903564831,10.627342352954642,-14.587796267650836,0.00816745187004253,0.2502318935138712,1.07968,0,Future,0.01,5000,1,0.04,0,0.0080761746923927,1,-14.12420424746882,-10.188789531949242,0.076372,-0.136372,0,0
2024-05-03,19.632,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-4.181488676203957,8.424959909249212,10.47006700755216,-15.022831693339295,0.002294807095949647,0.25399073359146807,1.07968,0,Future,0.01,5000,1,0.04,0,0.008021906089803032,1,-14.767904548170815,-10.270148274061345,0.076372,-0.136372,0,0
2024-05-02,19.587,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-4.146431112122889,8.612818703697217,10.255232597293203,-14.962600466659064,0.0015328022620941795,0.25931152460665824,1.07968,0,Future,0.01,5000,1,0.04,0,0.007875356988808865,1,-14.810441171447746,-10.12722627298403,0.076372,-0.136372,0,0
2024-05-01,19.557,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.9625814020502927,8.779575662949492,10.040023839704373,-14.693241620727322,-0.010933516834200852,0.26486988900200686,1.07968,0,Future,0.01,5000,1,0.04,0,0.007721917654018977,1,-14.608384090721115,-9.880351943824424,0.076372,-0.136372,0,0
2024-04-30,19.772,sb,0,0,0,0,0,0,5000,0,0,0,-0,0,-3.529601253784779,8.971832614235058,9.920655788125822,-14.152379206226813,-0.016850950385616237,0.26805687615761803,1.07968,0,Future,0.01,5000,1,0.04,0,0.007547140540678245,1,-14.059480470058729,-9.52781820698596,0.076372,-0.136372,0,0
