Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-28,24.7895,si,0,0,0,0,0,0,30,0,0,0,0,0,0.11748504065371967,-3.415174336949584,-7.786425580432283,5.75744667956256,0.0092400000880275,0.23730079751143254,1.080497,0,Future,1,30,0.01,0.025,0,0.004249844539052095,1,5.1172613936072,4.4784830723304,-0.067632,0.043909,0,0
2024-03-27,24.5615,si,0,0,0,0,0,0,30,0,0,0,0,0,0.0779572706401182,-3.5318205355346906,-7.675577699982828,5.707642145278917,0.004734026430495586,0.24072780867088794,1.080497,0,Future,1,30,0.01,0.025,0,0.0042282324994696585,1,4.878112510526429,4.634624398271765,-0.067632,0.043909,0,0
2024-03-26,24.4455,si,0,0,0,0,0,0,30,0,0,0,0,0,0.38939515312336337,-3.618317145889569,-7.519560474806781,6.088132347845993,-0.008999897854460315,0.24572247356617985,1.080497,0,Future,1,30,0.01,0.025,0,0.004161943743154048,1,5.1429661922693475,5.0039210541406405,-0.067632,0.043909,0,0
2024-03-25,24.6665,si,0,0,0,0,0,0,30,0,0,0,0,0,1.0955658975997924,-3.6257235627431776,-7.402648354853448,6.974940488931369,-0.0013369527575850526,0.2496032381152569,1.080497,0,Future,1,30,0.01,0.025,0,0.004060525693805548,1,5.858699570714499,5.766201244171116,-0.067632,0.043909,0,0
2024-03-24,24.6995,si,0,0,0,0,0,0,30,0,0,0,0,0,1.4760936780156078,-3.6536596459886472,-7.236372673933266,7.413141063981767,8.505812817900527e-4,0.25533856301456703,1.080497,0,Future,1,30,0.01,0.025,0,0.0039640163484636485,1,6.249381339234557,6.105853767401721,-0.067632,0.043909,0,0
2024-03-22,24.6785,si,0,0,0,0,0,0,30,0,0,0,0,0,1.9338278987004611,-3.719943357226833,-7.071922500938577,7.974370127349986,-0.0033172222412969354,0.26127619466344154,1.080497,0,Future,1,30,0.01,0.025,0,0.0038772285986225824,1,6.74399647711103,6.5466204018056136,-0.067632,0.043909,0,0
2024-03-21,24.7605,si,0,0,0,0,0,0,30,0,0,0,0,0,2.5631448558764687,-3.7661020673097654,-6.917673652669093,8.759414334491387,-0.03753313664764013,0.2671020769080484,1.080497,0,Future,1,30,0.01,0.025,0,0.0037801003863772945,1,7.527451747936179,7.071572142882802,-0.067632,0.043909,0,0
2024-03-20,25.7075,si,0,0,0,0,0,0,30,0,0,0,0,0,3.2537287968254875,-3.9461193220504267,-7.574704844224916,10.098717145571655,0.03273860691518893,0.2439335971498265,1.080497,0,Future,1,30,0.01,0.025,0,0.003986653990871692,1,9.177358467588661,7.653836775030766,-0.067632,0.043909,0,0
2024-03-19,24.8795,si,0,0,0,0,0,0,30,0,0,0,0,0,2.8673877993047836,-3.4302775355121335,-8.240024032367012,9.65833451634595,-0.007886981391187486,0.2242378168731173,1.080497,0,Future,1,30,0.01,0.025,0,0.004481150231190072,1,8.94226916725627,7.15495502665365,-0.067632,0.043909,0,0
2024-03-18,25.0765,si,0,0,0,0,0,0,30,0,0,0,0,0,3.2409341978193704,-2.9582461059985166,-8.11634329806623,9.858540299124867,-0.0022704650263416504,0.22765486034089175,1.080497,0,Future,1,30,0.01,0.025,0,0.004379213927354574,1,9.311297957170478,7.119602541370966,-0.067632,0.043909,0,0
