Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-28,661.99,sw,0,0,0,0,0,0,2.365561683484862,0,0,0,12.55789367337755,18.924493467878897,13.271577064604063,14.278475854700163,17.635799697130157,1.7382983102235907,0.009760617887107692,0.2228067378560339,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004745896806991559,1,1.8500980723122236,1.0470657780604276,0.127175,-0.187175,2066.6666666666665,5797.251371730394
2024-03-27,655.56,sw,0,0,0,0,0,0,2.363849403827249,0,0,0,11.888941883889588,18.910795230617993,12.573709078759947,14.449695645370857,17.451859305532725,0.8141679628948065,-0.00467208787836082,0.22515509271578182,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004742461554122664,1,1.0110497383430412,0.3458968664816364,0.127175,-0.187175,2066.6666666666665,5736.786368395253
2024-03-26,658.63,sw,0,0,0,0,0,0,2.308495805141354,0,0,0,11.12827120828455,18.467966441130834,12.051431048196276,14.640184215904963,17.12300761257044,0.18697881669066532,0.015623285530858233,0.22947925323091867,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.0046314086616561796,1,0.4592886952242824,-0.14765733407317352,0.127175,-0.187175,2066.6666666666665,5628.6860292633855
2024-03-25,648.42,sw,0,0,0,0,0,0,2.3559389895409657,0,0,0,10.547247592825602,18.847511916327726,11.192190926472849,14.859751629254,17.204018184332416,-1.1089636714960767,0.00735246213222851,0.22839867744260212,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.0047265913233164435,1,-0.8818061947229154,-0.9664665911038789,0.127175,-0.187175,2066.6666666666665,5655.315876298232
2024-03-22,643.67,sw,0,0,0,0,0,0,2.336224179423138,0,0,0,9.795696506013702,18.689793435385106,10.48240210880839,15.115950820007557,16.935079279839414,-2.0489789048456295,-0.0028235458890266685,0.23202578122428846,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004687038579863648,1,-1.6991987403111064,-1.7157661010982759,0.127175,-0.187175,2066.6666666666665,5566.910107364633
2024-03-21,645.49,sw,0,0,0,0,0,0,2.281588454618809,0,0,0,8.738282525310446,18.252707636950472,9.574779478328809,14.695946602605682,16.585794516828834,-2.874497921945513,0.017188191710974188,0.23691207533127495,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004577425918436636,1,-2.347133180865749,-2.4436966890434393,0.127175,-0.187175,2066.6666666666665,5452.092996359619
2024-03-20,634.49,sw,0,0,0,0,0,0,2.338885817482084,0,0,0,7.999121652131661,18.711086539856673,8.55014125993448,14.888192103393184,16.712570551111973,-4.400192980673274,0.014973881460257132,0.23511493866145916,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004692378478482021,1,-3.7984024197816937,-3.5352525480070964,0.127175,-0.187175,2066.6666666666665,5493.7668955460595
2024-03-19,625.06,sw,0,0,0,0,0,0,2.3762605980499103,0,0,0,7.639073087444983,19.010084784399282,8.03686377423632,15.14770482351094,16.72727611965156,-5.2216721059328215,-0.014895074906663197,0.23490824040285238,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004767361453137558,1,-4.615249917386557,-4.087536925834812,0.127175,-0.187175,2066.6666666666665,5498.600919454942
2024-03-18,634.44,sw,0,0,0,0,0,0,2.3427593966515685,0,0,0,7.76099147231716,18.742075173212548,8.281891306689133,15.493860411286665,16.738930124280497,-5.073873525531403,0.006975282735912636,0.23474469221305144,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004700149828153615,1,-4.420175598766329,-4.036280277119342,0.127175,-0.187175,2066.6666666666665,5502.431831320665
2024-03-15,630.03,sw,0,0,0,0,0,0,2.3196714552697,0,0,0,6.975875082009008,18.5573716421576,7.518171448548892,15.730955864026267,16.458761781840646,-6.070630224868268,0.012586216077806078,0.23874062047215336,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004653829756244605,1,-5.372360113719352,-4.745356927727762,0.127175,-0.187175,2066.6666666666665,5410.334714353003
2024-03-14,622.15,sw,0,0,0,0,0,0,2.3334952748265554,0,0,0,6.414709452886746,18.667962198612443,6.872426014836842,16.097672650184048,16.349763793935125,-7.060483535610465,0.0013188794654714897,0.24033221822186726,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004681563728076047,1,-6.370031145746347,-5.397441413604428,0.127175,-0.187175,2066.6666666666665,5374.504825958207
2024-03-13,621.33,sw,0,0,0,0,0,0,2.2862552669931127,0,0,0,6.139513705009076,18.2900421359449,6.7135041673231175,16.56429617651661,15.997661158053765,-7.32963977752103,-0.002668125538093591,0.24562184191667416,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004586788688429346,1,-6.643773597551318,-5.5722926983170655,0.127175,-0.187175,2066.6666666666665,5258.761421978333
2024-03-12,622.99,sw,0,0,0,0,0,0,2.23164806400585,0,0,0,5.87790977563607,17.8531845120468,6.584718565665225,17.145132005980027,15.657276948506507,-7.621579723022967,-0.0017000260701998116,0.2509615824592545,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.0044772332487613324,1,-6.914782041970828,-5.7878508297341185,0.127175,-0.187175,2066.6666666666665,5146.870106608363
2024-03-11,624.05,sw,0,0,0,0,0,0,2.179189686131044,0,0,0,5.483688576204819,17.433517489048352,6.290972065332936,17.8308979859078,15.315242359638683,-8.185107418995992,0.029763133667827013,0.25656629570259715,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.00437198887919189,1,-7.538593735050323,-6.103251963276331,0.127175,-0.187175,2066.6666666666665,5034.43627749111
2024-03-08,605.75,sw,0,0,0,0,0,0,2.370210111271094,0,0,0,5.405859753940182,18.96168089016875,5.701878209271005,18.56661056711327,16.169244224699465,-9.765423116878361,-0.010036138476615442,0.24301537817071564,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004755222692992431,1,-9.61671319187232,-6.65899200292495,0.127175,-0.187175,2066.6666666666665,5315.164317540781
2024-03-07,611.86,sw,0,0,0,0,0,0,2.31637134384583,0,0,0,5.946055927838355,18.53097075076664,6.417425193542396,19.456460876852155,15.961352813281394,-9.15233992034358,-0.011585619291997418,0.24618057416351194,1.080497,0.047619047619047616,Future,1,2,0.001,0.7,0,0.004647208923493296,1,-9.036400945646243,-6.217498921593059,0.127175,-0.187175,2066.6666666666665,5246.826119630169
