Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2025-02-21,46.809,zl,0,0,0,0,0,0,2000,0,0,0,0,0,1.5190302710507995,-9.477750075407714,-4.589499431427562,8.769659348904266,-0.0069191168387483515,0.26316050759904375,1.03,0,Future,0.01,2000,1,0.09,0,0.0073062147099488915,1,5.500229735459309,4.522238091859853,-0.078311,0.018311,0,0
2025-02-20,47.134,zl,0,0,0,0,0,0,2000,0,0,0,0,0,2.017700034233856,-9.417718707547538,-4.511192978694118,9.270398739388092,0.017377598740382805,0.26772851565078065,1.03,0,Future,0.01,2000,1,0.09,0,0.007132036905131528,1,5.825285434892579,4.769455981550954,-0.078311,0.018311,0,0
2025-02-19,46.322,zl,0,0,0,0,0,0,2000,0,0,0,0,0,0.4584666283086076,-9.368060760669765,-4.524002122688133,7.469993302603072,-0.018268278472682642,0.2669704759736823,1.03,0,Future,0.01,2000,1,0.09,0,0.007277663505725134,1,4.890683481044828,3.6464517219301107,-0.078311,0.018311,0,0
2025-02-18,47.176,zl,0,0,0,0,0,0,2000,0,0,0,0,0,2.1704376097281597,-9.310906917599143,-4.549568049256627,9.410737608831496,0.02309403090484441,0.2654702571593238,1.03,0,Future,0.01,2000,1,0.09,0,0.00718630299172832,1,5.993919874315076,4.76120882149235,-0.078311,0.018311,0,0
2025-02-14,46.099,zl,0,0,0,0,0,0,2000,0,0,0,0,0,0.07178277179747206,-9.2582389475203275,-4.656830144541264,7.039571999513621,-0.0011923732890286587,0.2593556051031309,1.03,0,Future,0.01,2000,1,0.09,0,0.007527579772819085,1,4.184028064400128,3.861197077901152,-0.078311,0.018311,0,0
2025-02-13,46.154,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-0.31402750623434716,-9.188097380706843,-4.560245079644316,6.51528265162204,0.01236104292657414,0.2648487041609181,1.03,0,Future,0.01,2000,1,0.09,0,0.007362669589792969,1,4.066161902876798,3.3798754132626754,-0.078311,0.018311,0,0
2025-02-12,45.587,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-1.8494244892556546,-9.127598011641355,-4.519879640063012,4.710110838131436,-0.009735942435490141,0.2672139738621806,1.03,0,Future,0.01,2000,1,0.09,0,0.007388262730345454,1,3.325709682317229,2.057274132690126,-0.078311,0.018311,0,0
2025-02-11,46.033,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-0.576524360863961,-8.881415585133617,-4.457503227192341,6.010574422318452,0.008333017985216351,0.270953253074983,1.03,0,Future,0.01,2000,1,0.09,0,0.007215706515653408,1,4.056859420671626,2.812368490549463,-0.078311,0.018311,0,0
2025-02-10,45.651,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-1.661176234285217,-8.565919314180142,-4.38572748994526,4.57733627716531,-0.005352454693483111,0.27538760736250734,1.03,0,Future,0.01,2000,1,0.09,0,0.007158925143695917,1,3.469128232974148,1.7621132266433495,-0.078311,0.018311,0,0
2025-02-07,45.896,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-1.215723358465024,-8.161021760629104,-4.300872655546132,4.841549084127591,0.012872279047255741,0.2808209162953314,1.03,0,Future,0.01,2000,1,0.09,0,0.006982938553642224,1,3.617977820336627,1.9152211329520488,-0.078311,0.018311,0,0
