Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-06-26,1155.68,zs,0,0,0,0,0,0,85.40595754661685,0,0,0,-412.4261781970651,683.2476603729348,-12.072523687002512,-12.64757459079693,4.316641430230076,-11.931231669053258,0.005361850099300902,0.1767346239734667,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007343989061392824,1,-7.498308032629156,-8.410000859441855,5.16e-4,-0.060516,1741.4285714285713,3695.007235162675
2024-06-25,1149.5,zs,0,0,0,0,0,0,84.42012170760351,0,0,0,-426.0685466410945,675.3609736608281,-12.61750569718497,-13.047835205312829,4.243997901406439,-12.421422277626764,-0.012999094037454917,0.17975974958592203,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007259217836691189,1,-8.003605235352108,-8.558291134816912,5.16e-4,-0.060516,1741.4285714285713,3632.8250111050274
2024-06-24,1164.54,zs,0,0,0,0,0,0,83.95565748035828,0,0,0,-387.21602034649334,671.6452598428663,-11.530373055475263,-13.362296579851696,4.275870941234773,-10.83061792132522,0.010922087655054646,0.17841979107528722,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007219278934274041,1,-7.002955341158091,-7.437868553942202,5.16e-4,-0.060516,1741.4285714285713,3660.108053877021
2024-06-21,1151.89,zs,0,0,0,0,0,0,84.79584197579676,0,0,0,-455.56158372996265,678.3667358063741,-13.431129791128006,-13.767308905843992,4.271749485465423,-13.160393344648059,0.005484283467633411,0.17859193349136182,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007291525718003196,1,-8.981283508081797,-8.565907618115615,5.16e-4,-0.060516,1741.4285714285713,3656.580123857052
2024-06-20,1145.59,zs,0,0,0,0,0,0,83.8393327514107,0,0,0,-462.37777780334716,670.7146620112856,-13.787615031906583,-14.054660330987335,4.200463721530923,-13.456388404480572,-0.012689854172552195,0.18162280418933116,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007209276265121899,1,-9.367421666418329,-8.574429539555766,5.16e-4,-0.060516,1741.4285714285713,3595.560134645662
2024-06-18,1160.22,zs,0,0,0,0,0,0,83.23629863599358,0,0,0,-413.71933999135285,665.8903890879486,-12.426049294930134,-14.226709766941672,4.223507971823235,-11.566464829014292,0.007084038707130702,0.18063183616311862,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007157421850342313,1,-7.873825830281297,-7.548127275071091,5.16e-4,-0.060516,1741.4285714285713,3615.2858109463814
2024-06-17,1152.03,zs,0,0,0,0,0,0,82.69901590032603,0,0,0,-420.301258388234,661.5921272026083,-12.705751507817428,-14.54701489805341,4.166624288913368,-11.750806705853215,-0.018405480310675237,0.18309786222624838,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007111221343410886,1,-8.09878396589142,-7.568958308579535,5.16e-4,-0.060516,1741.4285714285713,3566.593876878683
2024-06-14,1173.43,zs,0,0,0,0,0,0,84.2463191523726,0,0,0,-358.0012905733774,673.9705532189809,-10.623647839316165,-14.811373186999317,4.323429018165529,-8.920891701337993,-0.008122501084287137,0.17645715861057562,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.0072442726958471025,1,-5.674065939098571,-6.220456329352087,5.16e-4,-0.060516,1741.4285714285713,3700.8173509520393
2024-06-13,1183,zs,0,0,0,0,0,0,82.75104173569551,0,0,0,-329.2583842441432,662.0083338855641,-9.947257984249466,-15.05687140362799,4.281327251989766,-7.875238569846843,0.009990568349075524,0.17819240508780046,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007115695002823401,1,-5.100363208953232,-5.399954884175891,5.16e-4,-0.060516,1741.4285714285713,3664.7786080666287
2024-06-12,1171.24,zs,0,0,0,0,0,0,83.24162369038527,0,0,0,-388.76886762574827,665.9329895230821,-11.675915557334708,-15.380917140371636,4.263896455351979,-10.009377067269781,2.732520425521301e-4,0.17892085513531156,1.06849,0.047619047619047616,Future,0.01,50,0.1,1.5,0,0.007157879747453091,1,-6.660213383877712,-6.685622705815328,5.16e-4,-0.060516,1741.4285714285713,3649.8579989003865
