Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-03-04,553,zw,0,0,0,0,0,0,131.49564625222777,0,0,0,-559.540160680022,1051.9651700178222,-10.637997846840166,-3.1056883251383014,-8.773409890634301,-8.24444802123392,0.009940746812295842,0.2821622414612871,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005127031185035633,1,-6.612105436035157,-7.1286412660213765,-0.129021,0.069021,1888.888888888889,2677.7344539177775
2024-03-01,547.53,zw,0,0,0,0,0,0,131.0991233032542,0,0,0,-538.005375669098,1048.7929864260336,-10.259515130864028,-3.1314909210957893,-8.660433316445452,-7.7833913890480835,-0.030558557835766997,0.28584308770084066,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005111570707195399,1,-6.325802148972557,-6.646516832774249,-0.129021,0.069021,1888.888888888889,2643.252847682325
2024-02-29,564.52,zw,0,0,0,0,0,0,133.96327636017355,0,0,0,-503.83301470534394,1071.7062108813884,-9.402446483742658,-3.123734332668532,-9.124246471250624,-6.412604909697298,4.783968481607559e-4,0.2713128155623672,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005223244382028508,1,-5.185747730592945,-5.501927118902551,-0.129021,0.069021,1888.888888888889,2784.8133675125814
2024-02-28,564.25,zw,0,0,0,0,0,0,131.37961117892283,0,0,0,-490.69591270467055,1051.0368894313826,-9.33736803415416,-3.1140517786495168,-8.943993085154391,-6.420801613636926,-0.013938734323352797,0.27678073724240443,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005122506963463679,1,-5.1634857177544795,-5.53785030497373,-0.129021,0.069021,1888.888888888889,2729.7981900158047
2024-02-27,572.17,zw,0,0,0,0,0,0,128.925168742922,0,0,0,-479.65382739784235,1031.401349943376,-9.3010122087619,-3.116332401285695,-8.900096313720322,-6.393135254179524,0.018183441480721818,0.2781458663749233,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005026807955398325,1,-5.082048222982946,-5.573177200649593,-0.129021,0.069021,1888.888888888889,2716.4004462935786
2024-02-26,561.86,zw,0,0,0,0,0,0,132.0500735250545,0,0,0,-537.2014237064224,1056.400588200436,-10.170411294858093,-3.2641220529049177,-8.951558970118194,-7.452707881632568,0.008687468612992078,0.2765468013184874,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.0051486483716013725,1,-6.1953794383106375,-6.22580036441031,-0.129021,0.069021,1888.888888888889,2732.107375508617
2024-02-23,557,zw,0,0,0,0,0,0,131.337671104865,0,0,0,-538.3022373361171,1050.70136883892,-10.246531570259002,-3.4065094131837603,-8.82625399408714,-7.54566039004322,-0.016699991094323963,0.28047289389795454,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005120871714892904,1,-6.3453629041756345,-6.230737745896399,-0.129021,0.069021,1888.888888888889,2693.863014906717
2024-02-22,566.38,zw,0,0,0,0,0,0,129.31935045503585,0,0,0,-511.7819696088064,1034.5548036402868,-9.893762376009462,-3.5347321933208,-8.836969143023898,-7.005832499840267,0.003076871094648048,0.2801328102355359,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005042177148129633,1,-5.821939936006761,-5.8544475637270175,-0.129021,0.069021,1888.888888888889,2697.133387982236
2024-02-21,564.64,zw,0,0,0,0,0,0,127.22330225817888,0,0,0,-515.518556379532,1017.786418065431,-10.130191309870488,-3.735658375204406,-8.667028405268157,-7.305578356257704,2.6569128600328895e-4,0.28562557825416607,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004960451974886939,1,-6.136764738067951,-6.039199189028222,-0.129021,0.069021,1888.888888888889,2645.265736261263
2024-02-20,564.49,zw,0,0,0,0,0,0,124.69979794222529,0,0,0,-513.5720580807899,997.5983835378023,-10.296168609646289,-3.882315944425278,-8.49285906679692,-7.54063730725062,0.03297407689570431,0.29148311311065284,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.00486206023575172,1,-6.371372678935177,-6.196356166482525,-0.129021,0.069021,1888.888888888889,2592.1074723417396
2024-02-16,546.18,zw,0,0,0,0,0,0,136.94275041149828,0,0,0,-612.8663154518067,1095.5420032919862,-11.188367285055417,-4.040370318516664,-9.024159319372394,-8.385558227796025,-0.0119391364672774,0.27432195203887044,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005339414436410726,1,-7.522491948133031,-6.45343843152701,-0.129021,0.069021,1888.888888888889,2754.265744829988
2024-02-15,552.74,zw,0,0,0,0,0,0,134.15990297666576,0,0,0,-534.4854059077907,1073.279223813326,-9.959857491860905,-4.306762413693167,-8.94696100560205,-6.652948279500265,-0.0290981485091919,0.2766889224676373,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005230910877637266,1,-5.665668744939927,-5.422578387560514,-0.129021,0.069021,1888.888888888889,2730.704029699377
2024-02-14,569.06,zw,0,0,0,0,0,0,137.18242361121307,0,0,0,-483.0648827182125,1097.4593888897045,-8.803330448645163,-4.611266225891762,-9.418645379624838,-4.722818128768586,-0.02469861305412202,0.2628323819638918,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005348759323516709,1,-3.7314121689922604,-4.139951378955383,-0.129021,0.069021,1888.888888888889,2874.6669261603947
2024-02-13,583.29,zw,0,0,0,0,0,0,139.0599591091852,0,0,0,-437.21088949663107,1112.4796728734816,-7.8601146638003065,-4.947562813822831,-9.786300407128417,-3.1132212745914516,-0.0016102511359310512,0.25295820657587914,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005421964660145497,1,-2.5467527179433325,-2.6419494063757534,-0.129021,0.069021,1888.888888888889,2986.879001804252
2024-02-12,584.23,zw,0,0,0,0,0,0,136.22858218612205,0,0,0,-425.3326477677204,1089.8286574889764,-7.805495751005658,-5.354263645116075,-9.60249313939666,-2.928949275751178,-0.0014880318824150862,0.2578002362577622,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005311568930744008,1,-2.4070464975132726,-2.4745356287386904,-0.129021,0.069021,1888.888888888889,2930.779143274762
2024-02-09,585.1,zw,0,0,0,0,0,0,133.47298558759397,0,0,0,-416.2566773662851,1067.7838847007517,-7.796646556113586,-5.738827220468413,-9.422266593363835,-2.814981834568658,0.008013564629265169,0.26273136887715837,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005204127885380937,1,-2.3250744887432075,-2.3665619022045563,-0.129021,0.069021,1888.888888888889,2875.772157639921
2024-02-08,580.43,zw,0,0,0,0,0,0,132.72229060468774,0,0,0,-418.6323290481726,1061.778324837502,-7.885493972807206,-6.10934021870959,-9.294491496488305,-2.812076106143992,-0.01757292370950747,0.26634324222420513,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005174858197010972,1,-2.3580075658240056,-2.3287859444159817,-0.129021,0.069021,1888.888888888889,2836.7738908860183
2024-02-07,590.72,zw,0,0,0,0,0,0,131.42200455539322,0,0,0,-394.3672523139635,1051.3760364431457,-7.5019258313728825,-6.43032533379208,-9.366593590522466,-2.104108313006569,0.009867046130754176,0.26429298720773425,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005124159886350462,1,-1.7827039556166842,-1.7241432327275976,-0.129021,0.069021,1888.888888888889,2858.7801876168933
2024-02-06,584.92,zw,0,0,0,0,0,0,131.2888343638245,0,0,0,-419.0275749664969,1050.310674910596,-7.979116750425586,-6.810538452830563,-9.26522944337904,-2.600938385795981,0.006982537784193887,0.2671844248572837,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005118967564440578,1,-2.211170173153615,-2.123727136506353,-0.129021,0.069021,1888.888888888889,2827.842812915217
2024-02-05,580.85,zw,0,0,0,0,0,0,130.18649732319338,0,0,0,-413.4815639978089,1041.491978585547,-7.940177600971239,-7.095924216677541,-9.123507868196299,-2.4771874255247335,-0.016663353140621062,0.2713347799731121,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005075987309619861,1,-2.1341742560632637,-1.994471453144626,-0.129021,0.069021,1888.888888888889,2784.5879383042134
2024-02-02,590.61,zw,0,0,0,0,0,0,128.47326021842733,0,0,0,-382.3113467121477,1027.7860817474186,-7.439512044415908,-7.30158577098423,-9.154728225156617,-1.6911923944841207,0.0025260030553919677,0.2704094473495579,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.005009187987255627,1,-1.4784893330788447,-1.3401646577280233,-0.129021,0.069021,1888.888888888889,2794.1167106445437
2024-02-01,589.12,zw,0,0,0,0,0,0,126.34799796090579,0,0,0,-387.7988400822353,1010.7839836872463,-7.673228827144274,-7.549448976279914,-8.980572977279287,-1.965960792746099,0.008403625663116365,0.2756533470930018,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004926323754246791,1,-1.6634229041282993,-1.613178417115199,-0.129021,0.069021,1888.888888888889,2740.9627473184323
2024-01-31,584.19,zw,0,0,0,0,0,0,125.58957204922591,0,0,0,-396.14165616008637,1004.7165763938073,-7.8856399001983855,-7.807262673414958,-8.85196348856212,-2.1845734526093077,-0.013922048469816595,0.27965829312318086,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004896752636026929,1,-1.8082887037197106,-1.8326670506291354,-0.129021,0.069021,1888.888888888889,2701.709815638318
2024-01-30,592.38,zw,0,0,0,0,0,0,123.19599051918179,0,0,0,-378.5312440126412,985.5679241534543,-7.681484649325973,-8.093797560381734,-8.804990179163815,-1.7925856626618561,0.017128196041411137,0.2811502284077611,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004803426602061347,1,-1.412864577894008,-1.5747781932090856,-0.129021,0.069021,1888.888888888889,2687.373081055262
2024-01-29,582.32,zw,0,0,0,0,0,0,125.58552401039051,0,0,0,-418.78928929484016,1004.6841920831241,-8.336734918193894,-8.496230797389893,-8.823343829396958,-2.4558592441984337,-0.010964535238371376,0.28056540103902905,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004896594802502102,1,-1.8571769675214853,-2.2359217728092378,-0.129021,0.069021,1888.888888888889,2692.97480287119
2024-01-26,588.74,zw,0,0,0,0,0,0,122.83601648808778,0,0,0,-389.65395250881704,982.6881319047022,-7.93036854436346,-8.881811375436083,-8.72531635844912,-1.7702608588753448,-0.015622816170466791,0.28371750642632415,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004789391170959075,1,-1.2489414106148398,-1.7014933541774016,-0.129021,0.069021,1888.888888888889,2663.0558158798653
2024-01-25,598.01,zw,0,0,0,0,0,0,120.65394203167726,0,0,0,-384.5298936323598,965.2315362534181,-7.9676197718306385,-9.290220906698258,-8.705262611724292,-1.6257512698962437,6.523757581051726e-4,0.2843710879745259,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.00470431182342975,1,-1.0741373558984728,-1.6354480939286,-0.129021,0.069021,1888.888888888889,2656.935207222046
2024-01-24,597.62,zw,0,0,0,0,0,0,118.3069285779046,0,0,0,-418.112436264262,946.4554286232368,-8.83533283490106,-9.769832614667676,-8.530357207456873,-2.6303488688058043,0.022164102854284273,0.2902017980953953,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004612801484402181,1,-1.8972524806651898,-2.4866623006778172,-0.129021,0.069021,1888.888888888889,2603.5522884912966
2024-01-23,584.52,zw,0,0,0,0,0,0,122.70879005232884,0,0,0,-499.3711657438888,981.6703204186307,-10.17390778466101,-10.222446736314486,-8.653802199219745,-4.127085911780896,0.006315665943914084,0.2860621196337491,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004784430596808613,1,-3.3503182879553663,-3.5281582316794604,-0.129021,0.069021,1888.888888888889,2641.2289628662056
2024-01-22,580.84,zw,0,0,0,0,0,0,121.34908904938872,0,0,0,-521.4454388631567,970.7927123951098,-10.742673120746089,-10.680689484910937,-8.504033298385846,-4.731202769346394,0.004711169678395244,0.29110010663644514,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004731415689904194,1,-3.947414142129452,-3.9379238067812055,-0.129021,0.069021,1888.888888888889,2595.5179621392886
2024-01-19,578.11,zw,0,0,0,0,0,0,119.63354721503262,0,0,0,-534.6863795857159,957.068377720261,-11.173420667378858,-11.048039592995979,-8.34440503779391,-5.201671907776868,0.014900029071347909,0.2966688444278201,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004664526505853904,1,-4.435401856532048,-4.2340513230960655,-0.129021,0.069021,1888.888888888889,2546.7977839492455
2024-01-18,569.56,zw,0,0,0,0,0,0,120.68843001515691,0,0,0,-562.7349461561319,965.5074401212553,-11.656770787503401,-11.446053409052098,-8.293484435009624,-5.672592127973673,0.005175247868962174,0.29849034135157537,1.086248,0.05555555555555555,Future,0.01,80,0.1,0.8,0,0.004705656514085666,1,-4.994434295440646,-4.459885917848811,-0.129021,0.069021,1888.888888888889,2531.2562950424863
