Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,1741.45,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-16,1756.2785714285715,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008479022866339392,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-17,1771.107142857143,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008407733081769564,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-18,1785.9357142857143,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008337632087139113,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-19,1800.7642857142857,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008268690392725375,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-20,1815.5928571428572,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008200879476198963,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-21,1830.4214285714286,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00813417174326947,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-22,1845.25,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008068540490253184,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-23,1845.7785714285715,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,2.864087459393261e-4,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-24,1846.307142857143,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,2.8632673945594433e-4,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-25,1846.8357142857144,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,2.8624477992167385e-4,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
2021-02-26,1847.3642857142856,ca,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,2.8616286729388207e-4,NA,0.86236,0.016666666666666666,Future,1,0.3,1e-4,1,3.5,0,1.75,NA,NA,NA,NA,857.5,NA
