Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-22,1002.04,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-02-23,1003.7771428571428,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0017321053393546393,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-02-24,1005.5142857142857,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0017291103373588967,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-02-25,1007.2514285714286,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0017261256748692944,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-02-26,1008.9885714285714,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0017231512984334785,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-02-27,1010.7257142857143,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0017201871549721304,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-02-28,1012.4628571428572,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0017172331917665318,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-03-01,1014.2,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0017142893564612294,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-03-02,1016.0871428571429,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001858991628110651,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-03-03,1017.9742857142858,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018555421897232804,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-03-04,1019.8614285714286,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018521055287905597,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
2021-03-05,1021.7485714285715,cad,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018486815744482854,NA,1.43583,0.011904761904761904,Cash,1,0.01,0.01,2,0.3,0,0.15,NA,NA,NA,NA,612.5,NA
