Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,89.073,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-16,88.868,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002304135535892371,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-17,88.663,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002309456839824975,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-18,88.458,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0023148027793187254,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-19,88.253,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0023201735258480127,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-20,88.048,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0023255692524859484,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-21,87.843,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0023309901339185757,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-22,87.638,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0023364363464626337,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-23,87.4677142857143,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0019449481550095626,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
2021-02-24,87.29742857142857,ct,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0019487383512668544,NA,1.068262,0.03333333333333333,Future,0.01,600,0.01,3,0.15,0,0.075,NA,NA,NA,NA,1715,NA
