Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,130.372,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-16,130.1947142857143,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013607704432114787,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-17,130.01742857142858,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013626246628639649,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-18,129.84014285714287,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013644839426243394,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-19,129.66285714285715,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013663483032342327,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-20,129.48557142857143,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001368217765547186,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-21,129.30828571428572,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013700923505348683,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-22,129.131,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013719720792808587,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-23,129.2122857142857,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.292845331241637e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-24,129.29357142857143,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.288887831251699e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-25,129.37485714285714,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.284935305815864e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-26,129.45614285714285,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.28098774551944e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-27,129.53742857142856,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.277045141036552e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-28,129.61871428571428,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.273107483014684e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-01,129.7,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.269174762172369e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-02,129.57542857142857,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.609197357667298e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-03,129.45085714285713,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.618439907113085e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-04,129.32628571428572,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.627700253469484e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-05,129.20171428571427,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.636978448162026e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-06,129.07714285714286,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.646274542873812e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-07,128.95257142857142,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.655588589438935e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-08,128.828,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.664920639904651e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-09,128.78785714285715,g,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.116489637937647e-4,NA,0.86236,0.027777777777777776,Future,1,0.01,0.01,3,0.02,0,0.01,NA,NA,NA,NA,1429.1666666666665,NA
