Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,139.286,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-16,139.2347142857143,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.682721767885866e-4,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-17,139.18342857142858,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.6840785115188623e-4,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-18,139.13214285714287,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.685436255178587e-4,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-19,139.08085714285713,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.686794999993026e-4,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-20,139.02957142857142,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.6881547470546394e-4,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-21,138.9782857142857,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.68951549747365e-4,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-22,138.927,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.690877252378044e-4,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-23,138.618,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002226666866055993,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
2021-02-24,138.309,gf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0022316359780019113,NA,1.068262,0.020833333333333332,Future,0.01,300,0.01,3,0.2,0,0.1,NA,NA,NA,NA,1071.875,NA
