Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,81.393,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-16,81.82328571428572,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005272595308000838,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-17,82.25357142857143,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005244940794047359,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-18,82.68385714285715,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005217574860409968,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-19,83.11414285714285,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0051904930134298866,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-20,83.54442857142857,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0051636908522754155,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-21,83.97471428571428,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0051371640665394125,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-22,84.405,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00511090843393891,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-23,84.46114285714286,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.649392028688084e-4,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-24,84.51728571428572,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.644973525125053e-4,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-25,84.57342857142858,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.640560889827896e-4,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-26,84.62957142857142,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.636154111125947e-4,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-27,84.68571428571428,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.631753177348543e-4,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-02-28,84.74185714285714,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.627358076896073e-4,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-03-01,84.798,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,6.622968798160045e-4,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-03-02,85.36957142857143,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006717773231218693,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
2021-03-03,85.94114285714286,he,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006672945727578039,NA,1.068262,0.041666666666666664,Future,0.01,800,0.01,3,0.1,0,0.05,NA,NA,NA,NA,2143.75,NA
