Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,126.26,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-16,127.44000000000001,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.009302392662313252,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-17,128.62,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.009216655104923532,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-18,129.8,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00913248356327312,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-19,130.98000000000002,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.009049835519918226,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-20,132.16,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008968669982760247,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-21,133.34,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008888947417245774,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-22,134.52,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.008810629682154847,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-23,133.24714285714288,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009507266028658812,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
2021-02-24,131.9742857142857,kc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009598522428841072,NA,1.068262,0.016666666666666666,Future,0.01,500,0.01,2,0.3,0,0.15,NA,NA,NA,NA,857.5,NA
