Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,513.39,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-16,514.9342857142857,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0030035017098377637,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-17,516.4785714285714,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0029945076941171322,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-18,518.0228571428571,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002985567382956411,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-19,519.5671428571429,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002976680296772116,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-20,521.1114285714286,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0029678459616704345,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-21,522.6557142857143,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002959063909369064,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-22,524.2,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0029503336771128374,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-23,528.2335714285715,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.007665265130006205,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-24,532.2671428571429,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.007606955515813141,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-25,536.3007142857143,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.007549526330015155,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-26,540.3342857142857,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.007492957781289888,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-27,544.3678571428571,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00743723066710178,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-02-28,548.4014285714285,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.007382326351956792,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-03-01,552.44,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.007337277544238852,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-03-02,551.9100000000001,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.598407039259627e-4,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-03-03,551.38,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.60762883319255e-4,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-03-04,550.85,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.616868364084041e-4,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-03-05,550.32,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.626125683155351e-4,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
2021-03-06,549.7900000000001,lf,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-9.635400841814246e-4,NA,1.068262,0.020833333333333332,Future,1,1,0.01,2,0.5,0,0.25,NA,NA,NA,NA,1071.875,NA
