Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,62313.8,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-16,62100.80714285714,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.003423923767712722,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-17,61887.81428571429,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.003435687310687996,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-18,61674.82142857143,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0034475319642002233,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-19,61461.828571428574,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.003459458570052476,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-20,61248.83571428571,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.003471467981732701,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-21,61035.84285714286,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0034835610646180015,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-22,60822.9,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0034949166370541462,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-23,61101.828571428574,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004575430452879559,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-24,61380.75714285715,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004554591201406666,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-25,61659.68571428572,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004533940918456381,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-26,61938.614285714284,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00451347704529681,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-27,62217.54285714286,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004493197069194821,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-02-28,62496.47142857143,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004473098522359109,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-01,62775.4,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004453178980975636,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-02,62703.985714285714,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011382633572587508,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-03,62632.57142857143,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011395604773323242,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-04,62561.15714285714,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011408605570757402,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-05,62489.74285714286,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011421636066248908,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-06,62418.328571428574,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011434696361707353,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-07,62346.91428571429,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001144778655945089,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-08,62275.5,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0011460906762348344,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-09,61969.735714285714,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004921957791538034,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
2021-03-10,61663.97142857143,lx,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004946303337179714,NA,20.2089,0.016666666666666666,Index,1,0.1,0.01,1,10,0,5,NA,NA,NA,NA,857.5,NA
