Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,2371.24,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-16,2359.83,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0048234425285169635,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-17,2348.4199999999996,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004846820936296403,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-18,2337.0099999999998,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004870427070627237,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-19,2325.6,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004894264275195681,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-20,2314.19,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004918335959462006,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-21,2302.7799999999997,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0049426456002992225,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-22,2291.37,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.004967196743659308,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-23,2294.4714285714285,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001352610679016486,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
2021-02-24,2297.572857142857,pa,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013507835944235325,NA,1.068262,0.016666666666666666,Future,1,0.6,0.01,2,1.49,0,0.745,NA,NA,NA,NA,857.5,NA
