Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,1277.82,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-16,1265.3742857142856,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009787544514103352,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-17,1252.9285714285713,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00988428820483378,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-18,1240.482857142857,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009982963504643116,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-19,1228.037142857143,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010083628847873172,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-20,1215.5914285714287,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010186345049878476,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-21,1203.1457142857143,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.010291175429544275,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-22,1190.7,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01039818593945352,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-23,1181.7992857142858,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007503273950640654,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-24,1172.8985714285714,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007559998962061165,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
2021-02-25,1163.9978571428571,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007617588197301295,NA,1.068262,0.016666666666666666,Future,1,0.7,0.01,2,1,0,0.5,NA,NA,NA,NA,857.5,NA
