Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,541.13,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-16,542.14,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018647249396073207,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-17,543.15,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018612542114562203,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-18,544.16,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018577963791255314,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-19,545.1700000000001,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018543513708744186,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-20,546.1800000000001,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001850919115493177,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-21,547.19,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0018474995422996798,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-22,548.2,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001844092581133161,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-23,547.8914285714286,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-5.630395944713484e-4,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-24,547.5828571428572,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-5.633567866567546e-4,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-25,547.2742857142857,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-5.636743364272334e-4,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-26,546.9657142857143,zc,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-5.639922443902989e-4,NA,1.068262,0.027777777777777776,Future,0.01,150,0.1,2,0.9,0,0.45,NA,NA,NA,NA,1429.1666666666665,NA
