Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,1380.78,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-16,1384.5342857142857,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0027152704054502763,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-17,1388.2885714285715,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002707917672229776,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-18,1392.0428571428572,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00270060465270916,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-19,1395.7971428571427,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002693331025999335,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-20,1399.5514285714285,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0026860964746635574,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-21,1403.3057142857142,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0026789006846641428,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-22,1407.06,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002671743345317168,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-23,1410.71,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002590702606307893,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-24,1414.36,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002584008205778865,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-25,1418.01,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0025773483128936903,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-26,1421.6599999999999,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0025707226615203638,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-27,1425.31,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0025641309882615815,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-02-28,1428.9599999999998,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002557573032410332,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-01,1432.61,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0025510485359223622,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-02,1429.7242857142855,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020163370000494396,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-03,1426.8385714285714,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020204108305446056,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-04,1423.952857142857,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020245011560016124,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-05,1421.067142857143,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020286080768041614,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-06,1418.1814285714286,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002032731694153078,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-07,1415.2957142857144,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020368721100769704,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
2021-03-08,1412.41,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020410294274340046,NA,1.068262,0.027777777777777776,Future,0.01,50,0.1,2,1.5,0,0.75,NA,NA,NA,NA,1429.1666666666665,NA
