Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/25/2024,76.83,76.83,76.83,76.83,0.07,+0.09%,0,0
04/24/2024,76.76,76.76,76.76,76.76,-0.71,-0.92%,0,0
04/23/2024,77.47,77.47,77.47,77.47,-0.7,-0.90%,0,0
04/22/2024,78.17,78.17,78.17,78.17,1.4,+1.82%,0,0
04/19/2024,76.77,76.77,76.77,76.77,0.41,+0.54%,0,0
04/18/2024,76.36,76.36,76.36,76.36,-0.72,-0.93%,0,0
04/17/2024,77.08,77.08,77.08,77.08,-0.71,-0.91%,0,0
04/16/2024,77.79,77.79,77.79,77.79,-1.64,-2.06%,0,0
04/15/2024,79.43,79.43,79.43,79.43,0.31,+0.39%,0,0
04/12/2024,79.12,79.12,79.12,79.12,-0.75,-0.94%,0,0
04/11/2024,79.87,79.87,79.87,79.87,-1.94,-2.37%,0,0
04/10/2024,81.81,81.81,81.81,81.81,-0.73,-0.88%,0,0
04/09/2024,82.54,82.54,82.54,82.54,-0.61,-0.73%,0,0
04/08/2024,83.15,83.15,83.15,83.15,0.4,+0.48%,0,0
04/05/2024,82.75,82.75,82.75,82.75,-0.89,-1.06%,0,0
04/04/2024,83.64,83.64,83.64,83.64,-1.84,-2.15%,0,0
04/03/2024,85.48,85.48,85.48,85.48,-1.83,-2.10%,0,0
04/02/2024,87.31,87.31,87.31,87.31,-2.45,-2.73%,0,0
04/01/2024,89.76,89.76,89.76,89.76,1.38,+1.56%,0,0
03/28/2024,88.38,88.38,88.38,88.38,0.61,+0.69%,0,0
03/27/2024,87.77,87.77,87.77,87.77,-2.64,-2.92%,0,0
03/26/2024,90.41,90.41,90.41,90.41,1.39,+1.56%,0,0
03/25/2024,89.02,89.02,89.02,89.02,0.49,+0.55%,0,0
03/22/2024,88.53,88.53,88.53,88.53,-0.68,-0.76%,0,0
03/21/2024,89.21,89.21,89.21,89.21,0.03,+0.03%,0,0
03/20/2024,89.18,89.18,89.18,89.18,-1.16,-1.28%,0,0
03/19/2024,90.34,90.34,90.34,90.34,-1.23,-1.34%,0,0
03/18/2024,91.57,91.57,91.57,91.57,0.38,+0.42%,0,0
03/15/2024,91.19,91.19,91.19,91.19,0.46,+0.51%,0,0
03/14/2024,90.73,90.73,90.73,90.73,-1.42,-1.54%,0,0
03/13/2024,92.15,92.15,92.15,92.15,-0.33,-0.36%,0,0
03/12/2024,92.48,92.48,92.48,92.48,0.17,+0.18%,0,0
03/11/2024,92.31,92.31,92.31,92.31,-0.22,-0.24%,0,0
03/08/2024,92.53,92.53,92.53,92.53,-4.,-4.14%,0,0
03/07/2024,96.53,96.53,96.53,96.53,4,+4.32%,0,0
03/06/2024,92.53,92.53,92.53,92.53,1.04,+1.14%,0,0
03/05/2024,91.49,91.49,91.49,91.49,-0.34,-0.37%,0,0
03/04/2024,91.83,91.83,91.83,91.83,-0.99,-1.07%,0,0
03/01/2024,92.82,92.82,92.82,92.82,-4.,-4.13%,0,0
02/29/2024,96.82,96.82,96.82,96.82,-1.51,-1.54%,0,0
02/28/2024,98.33,98.33,98.33,98.33,2.28,+2.37%,0,0
02/27/2024,96.05,96.05,96.05,96.05,4,+4.35%,0,0
02/26/2024,92.05,92.05,92.05,92.05,1.31,+1.44%,0,0
02/23/2024,90.74,90.74,90.74,90.74,-0.97,-1.06%,0,0
02/22/2024,91.71,91.71,91.71,91.71,1.48,+1.64%,0,0
02/21/2024,90.23,90.23,90.23,90.23,1.54,+1.74%,0,0
02/20/2024,88.69,88.69,88.69,88.69,-2.73,-2.99%,0,0
02/16/2024,91.42,91.42,91.42,91.42,-0.89,-0.96%,0,0
