Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/25/2024,248.65,248.65,248.65,248.65,4.2,+1.72%,0,0
04/24/2024,244.45,244.45,244.45,244.45,-5.54,-2.22%,0,0
04/23/2024,249.99,249.99,249.99,249.99,-5.43,-2.13%,0,0
04/22/2024,255.42,255.42,255.42,255.42,0.05,+0.02%,0,0
04/19/2024,255.37,255.37,255.37,255.37,-9.89,-3.73%,0,0
04/18/2024,265.26,265.26,265.26,265.26,11.24,+4.42%,0,0
04/17/2024,254.02,254.02,254.02,254.02,2,+0.79%,0,0
04/16/2024,252.02,252.02,252.02,252.02,5.13,+2.08%,0,0
04/15/2024,246.89,246.89,246.89,246.89,7.34,+3.06%,0,0
04/12/2024,239.55,239.55,239.55,239.55,9,+3.90%,0,0
04/11/2024,230.55,230.55,230.55,230.55,0.81,+0.35%,0,0
04/10/2024,229.74,229.74,229.74,229.74,2.68,+1.18%,0,0
04/09/2024,227.06,227.06,227.06,227.06,-1.69,-0.74%,0,0
04/08/2024,228.75,228.75,228.75,228.75,0.08,+0.03%,0,0
04/05/2024,228.67,228.67,228.67,228.67,-2.17,-0.94%,0,0
04/04/2024,230.84,230.84,230.84,230.84,5.89,+2.62%,0,0
04/03/2024,224.95,224.95,224.95,224.95,6.19,+2.83%,0,0
04/02/2024,218.76,218.76,218.76,218.76,2.8,+1.30%,0,0
04/01/2024,215.96,215.96,215.96,215.96,-1.57,-0.72%,0,0
03/28/2024,217.53,217.53,217.53,217.53,3.08,+1.44%,0,0
03/27/2024,214.45,214.45,214.45,214.45,2.14,+1.01%,0,0
03/26/2024,212.31,212.31,212.31,212.31,2.3,+1.10%,0,0
03/25/2024,210.01,210.01,210.01,210.01,-0.11,-0.05%,0,0
03/22/2024,210.12,210.12,210.12,210.12,2.58,+1.24%,0,0
03/21/2024,207.54,207.54,207.54,207.54,0.18,+0.09%,0,0
03/20/2024,207.36,207.36,207.36,207.36,0.13,+0.06%,0,0
03/19/2024,207.23,207.23,207.23,207.23,-1.1,-0.53%,0,0
03/18/2024,208.33,208.33,208.33,208.33,0.06,+0.03%,0,0
03/15/2024,208.27,208.27,208.27,208.27,1.28,+0.62%,0,0
03/14/2024,206.99,206.99,206.99,206.99,-2.59,-1.24%,0,0
03/13/2024,209.58,209.58,209.58,209.58,0.68,+0.33%,0,0
03/12/2024,208.9,208.9,208.9,208.9,-0.02,-0.01%,0,0
03/11/2024,208.92,208.92,208.92,208.92,-6.56,-3.04%,0,0
03/08/2024,215.48,215.48,215.48,215.48,6.04,+2.88%,0,0
03/07/2024,209.44,209.44,209.44,209.44,3.63,+1.76%,0,0
03/06/2024,205.81,205.81,205.81,205.81,-3.95,-1.88%,0,0
03/05/2024,209.76,209.76,209.76,209.76,3.46,+1.68%,0,0
03/04/2024,206.3,206.3,206.3,206.3,-1.37,-0.66%,0,0
