Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/25/2024,68573.5,68900.64,67842.94,68437.31,-136.19,-0.20%,0,0
04/24/2024,68050.56,68801.69,68040.5,68573.5,522.94,+0.77%,0,0
04/23/2024,67496.69,68170.94,67440.64,68050.56,553.87,+0.82%,0,0
04/22/2024,67313.64,67823.14,67279.81,67496.69,183.08,+0.27%,0,0
04/19/2024,67189.65,67341.37,66462.83,67313.61,123.96,+0.18%,0,0
04/18/2024,66899.25,67422.01,66721.23,67189.65,290.4,+0.43%,0,0
04/17/2024,66901.56,67484.14,66643.64,66899.25,-2.31,0.00%,0,0
04/16/2024,68348.5,68348.5,66754.89,66901.56,-1446.94,-2.12%,0,0
04/15/2024,69208.94,69230.31,68292.56,68348.5,-860.44,-1.24%,0,0
04/12/2024,69079.32,69742.81,68931.48,69208.94,129.63,+0.19%,0,0
04/11/2024,69276.75,69540.89,68637.06,69079.31,-197.44,-0.29%,0,0
04/10/2024,69282.06,69968.31,68611.06,69276.75,-5.31,-0.01%,0,0
04/09/2024,69185.89,69746.75,69109,69282.06,96.17,+0.14%,0,0
04/08/2024,68694.75,69286.39,68580.75,69185.89,491.14,+0.71%,0,0
04/05/2024,69211.06,69211.06,68201.44,68694.75,-516.31,-0.75%,0,0
04/04/2024,67979.44,69283.44,67911,69211.06,1231.62,+1.81%,0,0
04/03/2024,68275.31,68275.31,67651.94,67979.44,-295.87,-0.43%,0,0
04/02/2024,68346.19,68778.94,68059.81,68275.31,-70.88,-0.10%,0,0
03/28/2024,67678.69,68351.5,67640.39,68346.19,667.5,+0.99%,0,0
03/27/2024,67409.5,67824.75,67216.19,67678.69,269.19,+0.40%,0,0
03/26/2024,67032.25,67534.25,66856.69,67409.5,377.25,+0.56%,0,0
03/25/2024,67023.31,67288.31,66607.64,67032.25,8.96,+0.01%,0,0
03/22/2024,66131.94,67101.51,66114.55,67023.29,891.35,+1.35%,0,0
03/20/2024,65607.81,66254.56,65561.5,66131.94,524.11,+0.80%,0,0
03/19/2024,66251.81,66294.53,65416.3,65607.83,-606.28,-0.92%,0,0
03/18/2024,66745.72,67284.55,66128.14,66214.11,-531.64,-0.80%,0,0
03/15/2024,67011.25,67085.44,66616.69,66745.75,-265.5,-0.40%,0,0
03/14/2024,67954.69,68061.44,66947.39,67011.25,-943.44,-1.39%,0,0
03/13/2024,67181.44,67954.69,66931.75,67954.69,773.26,+1.15%,0,0
03/12/2024,67124.67,68147.9,67098.25,67181.43,56.74,+0.08%,0,0
03/11/2024,67297.56,67446.39,66767,67124.69,-172.87,-0.26%,0,0
03/08/2024,67143.75,67506.94,66865.64,67297.56,153.81,+0.23%,0,0
03/07/2024,67122.69,67143.75,66521.69,67143.75,21.06,+0.03%,0,0
03/06/2024,65777.06,67122.69,65777.06,67122.69,1345.62,+2.05%,0,0
03/05/2024,66177.64,66209.01,65605.56,65777.07,-400.57,-0.61%,0,0
03/04/2024,66337.44,67292,66128.89,66177.64,-159.79,-0.24%,0,0
03/01/2024,66349.81,66562.1,65949.29,66337.43,-12.38,-0.02%,0,0
02/29/2024,65816.64,66542.25,65816.64,66349.81,533.17,+0.81%,0,0
02/28/2024,66776.69,66791.19,65816.64,65816.64,-960.05,-1.44%,0,0
02/27/2024,67218.25,67223.81,66653.94,66776.69,-441.56,-0.66%,0,0
02/26/2024,67768.64,67825.69,66891.64,67218.25,-550.39,-0.81%,0,0
02/23/2024,67636.5,67973.06,67251.14,67768.64,132.14,+0.20%,0,0
02/22/2024,66557.69,67741.39,66551.89,67636.5,1078.79,+1.62%,0,0
02/21/2024,66513.5,66748.24,66079.46,66557.71,44.21,+0.07%,0,0
02/20/2024,67099.89,67099.89,66266.19,66513.5,-586.4,-0.87%,0,0
02/19/2024,67152.57,67370.19,66692.51,67099.9,-52.66,-0.08%,0,0
02/16/2024,66708.06,67478.39,66684.5,67152.56,444.5,+0.67%,0,0
02/15/2024,66420.89,66801.14,66072.89,66708.06,287.17,+0.43%,0,0
02/14/2024,66490.06,66560.81,66066.06,66420.89,-69.19,-0.10%,0,0
02/13/2024,67202.86,67381.93,66452.3,66490.08,-712.81,-1.06%,0,0
02/12/2024,66853.56,67265.19,66545.75,67202.89,349.33,+0.52%,0,0
02/09/2024,67199.94,67333.94,66767.06,66853.56,-346.38,-0.52%,0,0
02/08/2024,67775.44,67776.06,66960.89,67199.94,-575.5,-0.85%,0,0
02/07/2024,68059.89,68139.75,67635.44,67775.44,-284.45,-0.42%,0,0
02/06/2024,67476.47,68261.21,67476.47,68059.89,583.42,+0.86%,0,0
02/05/2024,67838.8,67919.26,67269.31,67476.47,-362.33,-0.53%,0,0
02/02/2024,67934.28,68941,67592.3,67838.8,-95.45,-0.14%,0,0
02/01/2024,68034.44,68034.44,66873.56,67934.25,-100.19,-0.15%,0,0
01/31/2024,68099.81,68117.06,67317.89,68034.44,-65.36,-0.10%,0,0
01/30/2024,67910.18,68372.47,67782.46,68099.8,189.61,+0.28%,0,0
01/29/2024,68621,68621,67850.14,67910.19,-710.81,-1.04%,0,0
01/26/2024,67586.94,68621,66997.64,68621,1034.06,+1.53%,0,0
01/25/2024,67952.44,68207.81,67501.81,67586.94,-365.49,-0.54%,0,0
01/24/2024,67019.6,68147.51,66892.89,67952.43,932.83,+1.39%,0,0
01/23/2024,66028.54,67149.03,66028.54,67019.6,991.06,+1.50%,0,0
01/22/2024,66346.3,66398.89,65744.4,66028.54,-317.77,-0.48%,0,0
01/19/2024,66009.31,66643.25,65934.19,66346.31,337,+0.51%,0,0
01/18/2024,65353.15,66197.94,65333.3,66009.31,656.16,+1.00%,0,0
01/17/2024,66608.25,66608.25,65267.58,65353.15,-1255.1,-1.88%,0,0
01/16/2024,67253.56,67267.56,66459,66608.25,-645.31,-0.96%,0,0
01/15/2024,67844.51,67950.85,66966.31,67253.56,-590.94,-0.87%,0,0
01/12/2024,67381.69,67910.5,67183.44,67844.5,462.81,+0.69%,0,0
01/11/2024,67141.69,67844.25,67111.39,67381.69,240.01,+0.36%,0,0
01/10/2024,67347.68,67478.73,66918.6,67141.68,-206.01,-0.31%,0,0
01/09/2024,67757,68056.64,67347.69,67347.69,-409.31,-0.60%,0,0
01/08/2024,68156.39,68160.64,67171.64,67757,-399.39,-0.59%,0,0
01/05/2024,68195.81,68227.81,67434,68156.39,-39.42,-0.06%,0,0
01/04/2024,68096.75,68728.69,68034.31,68195.81,99.06,+0.15%,0,0
01/03/2024,69337.94,69337.94,68096.75,68096.75,-1241.19,-1.79%,0,0
01/02/2024,70494.81,70494.81,69196.44,69337.94,-1156.87,-1.64%,0,0
12/29/2023,70076.25,70494.81,69785.31,70494.81,418.56,+0.60%,0,0
12/28/2023,70273.03,70720.91,70076.25,70076.25,-196.81,-0.28%,0,0
12/27/2023,67966.89,70441.56,67896.31,70273.06,2306.17,+3.39%,0,0
12/22/2023,69195.94,69250.06,67575.44,67966.89,-1229.05,-1.78%,0,0
12/21/2023,68718.31,69259.5,68176.06,69195.94,477.63,+0.70%,0,0
12/20/2023,68708.56,69345.5,68568.89,68718.31,9.75,+0.01%,0,0
12/19/2023,68201.25,68708.56,67883,68708.56,507.31,+0.74%,0,0
12/18/2023,69154.75,69168.31,68173.06,68201.25,-953.5,-1.38%,0,0
12/14/2023,66563.75,69460.89,66563.75,69154.75,2591,+3.89%,0,0
12/13/2023,66496.06,66916,66171.75,66563.75,67.69,+0.10%,0,0
12/12/2023,67796.69,68527.06,66496.06,66496.06,-1300.63,-1.92%,0,0
12/11/2023,67667.25,67809.94,67106.39,67796.69,129.47,+0.19%,0,0
12/08/2023,68720.96,68891.43,67542.93,67667.22,-1053.74,-1.53%,0,0
12/07/2023,69287.64,69303.62,68565.83,68720.96,-566.68,-0.82%,0,0
12/06/2023,69134.61,69811.79,69124.96,69287.64,153,+0.22%,0,0
12/05/2023,69908.25,69919.75,68948,69134.64,-773.61,-1.11%,0,0
12/04/2023,69800.56,70099.5,69539.14,69908.25,107.69,+0.15%,0,0
12/01/2023,69647.14,70305,69393,69800.56,153.42,+0.22%,0,0
11/30/2023,69303.5,70039.14,69294.81,69647.14,343.64,+0.50%,0,0
