Time,Open,High,Low,Last,Change,%Chg,Volume,"Open Int"
04/25/2024,437,437,437,437,0,0.00%,0,0
04/24/2024,437,437,437,437,-0.25,-0.06%,0,0
04/23/2024,437.25,437.25,437.25,437.25,4.75,+1.10%,0,0
04/22/2024,432.5,432.5,432.5,432.5,3.75,+0.87%,0,0
04/19/2024,428.75,428.75,428.75,428.75,4,+0.94%,0,0
04/18/2024,424.75,424.75,424.75,424.75,5.5,+1.31%,0,0
04/17/2024,419.25,419.25,419.25,419.25,3.25,+0.78%,0,0
04/16/2024,416,416,416,416,-11.75,-2.75%,0,0
04/15/2024,427.75,427.75,427.75,427.75,-5.75,-1.33%,0,0
04/12/2024,433.5,433.5,433.5,433.5,3.75,+0.87%,0,0
04/11/2024,429.75,429.75,429.75,429.75,10,+2.38%,0,0
04/10/2024,419.75,419.75,419.75,419.75,8,+1.94%,0,0
04/09/2024,411.75,411.75,411.75,411.75,0,0.00%,0,0
04/08/2024,411.75,411.75,411.75,411.75,20.5,+5.24%,0,0
04/05/2024,391.25,391.25,391.25,391.25,-5.,-1.26%,0,0
04/04/2024,396.25,396.25,396.25,396.25,-8.,-1.98%,0,0
04/03/2024,404.25,404.25,404.25,404.25,-8.5,-2.06%,0,0
04/02/2024,412.75,412.75,412.75,412.75,-3.,-0.72%,0,0
04/01/2024,415.75,415.75,415.75,415.75,3.75,+0.91%,0,0
03/28/2024,412,412,412,412,2,+0.49%,0,0
03/27/2024,410,410,410,410,-2.5,-0.61%,0,0
03/26/2024,412.5,412.5,412.5,412.5,-3.75,-0.90%,0,0
03/25/2024,416.25,416.25,416.25,416.25,-7.,-1.65%,0,0
03/22/2024,423.25,423.25,423.25,423.25,4.75,+1.14%,0,0
03/21/2024,418.5,418.5,418.5,418.5,0.25,+0.06%,0,0
03/20/2024,418.25,418.25,418.25,418.25,-3.25,-0.77%,0,0
03/19/2024,421.5,421.5,421.5,421.5,-2.,-0.47%,0,0
03/18/2024,423.5,423.5,423.5,423.5,-7.25,-1.68%,0,0
03/15/2024,430.75,430.75,430.75,430.75,-5.75,-1.32%,0,0
03/14/2024,436.5,436.5,436.5,436.5,-1.5,-0.34%,0,0
03/13/2024,438,438,438,438,0.25,+0.06%,0,0
03/12/2024,437.75,437.75,437.75,437.75,2,+0.46%,0,0
03/11/2024,435.75,435.75,435.75,435.75,13,+3.08%,0,0
03/08/2024,422.75,422.75,422.75,422.75,4,+0.96%,0,0
03/07/2024,418.75,418.75,418.75,418.75,2.25,+0.54%,0,0
03/06/2024,416.5,416.5,416.5,416.5,-5.5,-1.30%,0,0
03/05/2024,422,422,422,422,-6.5,-1.52%,0,0
03/04/2024,428.5,428.5,428.5,428.5,-3.25,-0.75%,0,0
03/01/2024,431.75,431.75,431.75,431.75,0.75,+0.17%,0,0
02/29/2024,431,431,431,431,2.5,+0.58%,0,0
02/28/2024,428.5,428.5,428.5,428.5,2.5,+0.59%,0,0
02/27/2024,426,426,426,426,3,+0.71%,0,0
02/26/2024,423,423,423,423,3.5,+0.83%,0,0
02/23/2024,419.5,419.5,419.5,419.5,16.5,+4.09%,0,0
02/22/2024,403,403,403,403,-7.25,-1.77%,0,0
02/21/2024,410.25,410.25,410.25,410.25,-9.75,-2.32%,0,0
02/20/2024,420,420,420,420,-36.25,-7.95%,0,0
02/16/2024,456.25,456.25,456.25,456.25,1,+0.22%,0,0
02/15/2024,455.25,455.25,455.25,455.25,0.25,+0.05%,0,0
02/14/2024,455,455,455,455,0.25,+0.05%,0,0
02/13/2024,454.75,454.75,454.75,454.75,3.5,+0.78%,0,0
02/12/2024,451.25,451.25,451.25,451.25,3,+0.67%,0,0
02/09/2024,448.25,448.25,448.25,448.25,-3.5,-0.77%,0,0
02/08/2024,451.75,451.75,451.75,451.75,-3.75,-0.82%,0,0
02/07/2024,455.5,455.5,455.5,455.5,4.5,+1.00%,0,0
02/06/2024,451,451,451,451,23.5,+5.50%,0,0
02/05/2024,427.5,427.5,427.5,427.5,-4.25,-0.98%,0,0
02/02/2024,431.75,431.75,431.75,431.75,-12.5,-2.81%,0,0
02/01/2024,444.25,444.25,444.25,444.25,1.75,+0.40%,0,0
01/31/2024,442.5,442.5,442.5,442.5,5.5,+1.26%,0,0
01/30/2024,437,437,437,437,11.75,+2.76%,0,0
01/29/2024,425.25,425.25,425.25,425.25,1.5,+0.35%,0,0
01/26/2024,423.75,423.75,423.75,423.75,-0.75,-0.18%,0,0
01/25/2024,424.5,424.5,424.5,424.5,-1.25,-0.29%,0,0
