Date,Close,Period
2021-02-22,1056.88,Weekly
2021-02-23,1054.4885714285715,Weekly
2021-02-24,1052.097142857143,Weekly
2021-02-25,1049.7057142857143,Weekly
2021-02-26,1047.314285714286,Weekly
2021-02-27,1044.9228571428573,Weekly
2021-02-28,1042.5314285714287,Weekly
2021-03-01,1040.14,Weekly
2021-03-02,1039.9,Weekly
2021-03-03,1039.66,Weekly
2021-03-04,1039.42,Weekly
2021-03-05,1039.18,Weekly
2021-03-06,1038.94,Weekly
2021-03-07,1038.7,Weekly
2021-03-08,1038.46,Weekly
2021-03-09,1038.88,Weekly
2021-03-10,1039.3,Weekly
2021-03-11,1039.72,Weekly
2021-03-12,1040.14,Weekly
2021-03-13,1040.5600000000002,Weekly
2021-03-14,1040.98,Weekly
2021-03-15,1041.4,Weekly
2021-03-16,1040.7050000000002,Weekly
2021-03-17,1040.01,Weekly
2021-03-18,1039.315,Weekly
2021-03-19,1038.6200000000001,Weekly
2021-03-20,1037.9250000000002,Weekly
2021-03-21,1037.23,Weekly
2021-03-22,1036.535,Weekly
2021-03-23,1036.3042857142857,Weekly
2021-03-24,1036.0735714285715,Weekly
2021-03-25,1035.8428571428572,Weekly
2021-03-26,1035.612142857143,Weekly
2021-03-27,1035.3814285714286,Weekly
2021-03-28,1035.1507142857145,Weekly
2021-03-29,1034.92,Weekly
2021-03-30,1037.1271428571429,Weekly
2021-03-31,1039.3342857142857,Weekly
2021-04-01,1041.5414285714285,Weekly
2021-04-02,1043.7485714285715,Weekly
2021-04-03,1045.9557142857143,Weekly
2021-04-04,1048.162857142857,Weekly
2021-04-05,1050.37,Weekly
2021-04-06,1050.2414285714285,Weekly
2021-04-07,1050.1128571428571,Weekly
2021-04-08,1049.9842857142858,Weekly
2021-04-09,1049.8557142857142,Weekly
2021-04-10,1049.7271428571428,Weekly
2021-04-11,1049.5985714285714,Weekly
2021-04-12,1049.47,Weekly
2021-04-13,1049.6585714285713,Weekly
2021-04-14,1049.847142857143,Weekly
2021-04-15,1050.0357142857142,Weekly
2021-04-16,1050.2242857142858,Weekly
2021-04-17,1050.412857142857,Weekly
2021-04-18,1050.6014285714286,Weekly
2021-04-19,1050.79,Weekly
2021-04-20,1051.412857142857,Weekly
2021-04-21,1052.0357142857142,Weekly
2021-04-22,1052.6585714285713,Weekly
2021-04-23,1053.2814285714287,Weekly
2021-04-24,1053.9042857142858,Weekly
2021-04-25,1054.527142857143,Weekly
2021-04-26,1055.15,Weekly
2021-04-27,1055.92,Weekly
2021-04-28,1056.69,Weekly
2021-04-29,1057.46,Weekly
2021-04-30,1058.23,Weekly
2021-05-01,1059,Weekly
2021-05-02,1059.77,Weekly
2021-05-03,1060.54,Weekly
2021-05-04,1060.4971428571428,Weekly
2021-05-05,1060.4542857142858,Weekly
2021-05-06,1060.4114285714286,Weekly
2021-05-07,1060.3685714285714,Weekly
2021-05-08,1060.3257142857142,Weekly
2021-05-09,1060.2828571428572,Weekly
2021-05-10,1060.24,Weekly
2021-05-11,1060.547142857143,Weekly
2021-05-12,1060.8542857142857,Weekly
2021-05-13,1061.1614285714286,Weekly
2021-05-14,1061.4685714285715,Weekly
2021-05-15,1061.7757142857145,Weekly
2021-05-16,1062.0828571428572,Weekly
2021-05-17,1062.39,Weekly
2021-05-18,1061.7028571428573,Weekly
2021-05-19,1061.0157142857142,Weekly
2021-05-20,1060.3285714285714,Weekly
2021-05-21,1059.6414285714286,Weekly
2021-05-22,1058.9542857142858,Weekly
2021-05-23,1058.2671428571427,Weekly
2021-05-24,1057.58,Weekly
2021-05-25,1057.9785714285713,Weekly
2021-05-26,1058.3771428571429,Weekly
2021-05-27,1058.7757142857142,Weekly
2021-05-28,1059.1742857142856,Weekly
2021-05-29,1059.572857142857,Weekly
2021-05-30,1059.9714285714285,Weekly
2021-05-31,1060.37,Weekly
2021-06-01,1060.935714285714,Weekly
2021-06-02,1061.5014285714285,Weekly
2021-06-03,1062.0671428571427,Weekly
2021-06-04,1062.6328571428571,Weekly
2021-06-05,1063.1985714285713,Weekly
2021-06-06,1063.7642857142857,Weekly
2021-06-07,1064.33,Weekly
2021-06-08,1062.2442857142858,Weekly
2021-06-09,1060.1585714285713,Weekly
2021-06-10,1058.0728571428572,Weekly
2021-06-11,1055.9871428571428,Weekly
2021-06-12,1053.9014285714286,Weekly
2021-06-13,1051.8157142857142,Weekly
2021-06-14,1049.73,Weekly
2021-06-15,1050.0414285714287,Weekly
2021-06-16,1050.3528571428571,Weekly
2021-06-17,1050.6642857142858,Weekly
2021-06-18,1050.9757142857143,Weekly
2021-06-19,1051.287142857143,Weekly
2021-06-20,1051.5985714285714,Weekly
2021-06-21,1051.91,Weekly
2021-06-22,1051.8314285714287,Weekly
2021-06-23,1051.7528571428572,Weekly
2021-06-24,1051.6742857142858,Weekly
2021-06-25,1051.5957142857142,Weekly
2021-06-26,1051.5171428571427,Weekly
2021-06-27,1051.4385714285713,Weekly
2021-06-28,1051.36,Weekly
2021-06-29,1052.28,Weekly
2021-06-30,1053.1999999999998,Weekly
2021-07-01,1054.12,Weekly
2021-07-02,1055.04,Weekly
2021-07-03,1055.96,Weekly
2021-07-04,1056.8799999999999,Weekly
2021-07-05,1057.8,Weekly
2021-07-06,1057.5585714285714,Weekly
2021-07-07,1057.3171428571427,Weekly
2021-07-08,1057.0757142857142,Weekly
2021-07-09,1056.8342857142857,Weekly
2021-07-10,1056.5928571428572,Weekly
2021-07-11,1056.3514285714284,Weekly
2021-07-12,1056.11,Weekly
2021-07-13,1056.3328571428572,Weekly
2021-07-14,1056.5557142857142,Weekly
2021-07-15,1056.7785714285715,Weekly
2021-07-16,1057.0014285714285,Weekly
2021-07-17,1057.2242857142858,Weekly
2021-07-18,1057.4471428571428,Weekly
2021-07-19,1057.67,Weekly
2021-07-20,1059.2585714285715,Weekly
2021-07-21,1060.847142857143,Weekly
2021-07-22,1062.4357142857143,Weekly
2021-07-23,1064.0242857142857,Weekly
2021-07-24,1065.6128571428571,Weekly
2021-07-25,1067.2014285714286,Weekly
2021-07-26,1068.79,Weekly
2021-07-27,1067.8528571428571,Weekly
2021-07-28,1066.9157142857143,Weekly
2021-07-29,1065.9785714285715,Weekly
2021-07-30,1065.0414285714285,Weekly
2021-07-31,1064.1042857142857,Weekly
2021-08-01,1063.1671428571428,Weekly
2021-08-02,1062.23,Weekly
2021-08-03,1061.9185714285713,Weekly
2021-08-04,1061.607142857143,Weekly
2021-08-05,1061.2957142857142,Weekly
2021-08-06,1060.9842857142858,Weekly
2021-08-07,1060.672857142857,Weekly
2021-08-08,1060.3614285714286,Weekly
2021-08-09,1060.05,Weekly
2021-08-10,1060.7771428571427,Weekly
2021-08-11,1061.5042857142857,Weekly
2021-08-12,1062.2314285714285,Weekly
2021-08-13,1062.9585714285715,Weekly
2021-08-14,1063.6857142857143,Weekly
2021-08-15,1064.4128571428573,Weekly
2021-08-16,1065.14,Weekly
2021-08-17,1065.23,Weekly
2021-08-18,1065.3200000000002,Weekly
2021-08-19,1065.41,Weekly
2021-08-20,1065.5,Weekly
2021-08-21,1065.59,Weekly
2021-08-22,1065.68,Weekly
2021-08-23,1065.77,Weekly
2021-08-24,1064.6114285714286,Weekly
2021-08-25,1063.452857142857,Weekly
2021-08-26,1062.2942857142857,Weekly
2021-08-27,1061.1357142857144,Weekly
2021-08-28,1059.977142857143,Weekly
2021-08-29,1058.8185714285714,Weekly
2021-08-30,1057.66,Weekly
2021-08-31,1057.487142857143,Weekly
2021-09-01,1057.3142857142857,Weekly
2021-09-02,1057.1414285714286,Weekly
