Date,Close,Period
2021-02-15,62313.8,Weekly
2021-02-16,62100.80714285714,Weekly
2021-02-17,61887.81428571429,Weekly
2021-02-18,61674.82142857143,Weekly
2021-02-19,61461.828571428574,Weekly
2021-02-20,61248.83571428571,Weekly
2021-02-21,61035.84285714286,Weekly
2021-02-22,60822.9,Weekly
2021-02-23,61101.828571428574,Weekly
2021-02-24,61380.75714285715,Weekly
2021-02-25,61659.68571428572,Weekly
2021-02-26,61938.614285714284,Weekly
2021-02-27,62217.54285714286,Weekly
2021-02-28,62496.47142857143,Weekly
2021-03-01,62775.4,Weekly
2021-03-02,62703.985714285714,Weekly
2021-03-03,62632.57142857143,Weekly
2021-03-04,62561.15714285714,Weekly
2021-03-05,62489.74285714286,Weekly
2021-03-06,62418.328571428574,Weekly
2021-03-07,62346.91428571429,Weekly
2021-03-08,62275.5,Weekly
2021-03-09,61969.735714285714,Weekly
2021-03-10,61663.97142857143,Weekly
2021-03-11,61358.20714285714,Weekly
2021-03-12,61052.44285714286,Weekly
2021-03-13,60746.67857142857,Weekly
2021-03-14,60440.91428571429,Weekly
2021-03-15,60135.2,Weekly
2021-03-16,60292.52857142857,Weekly
2021-03-17,60449.85714285714,Weekly
2021-03-18,60607.18571428571,Weekly
2021-03-19,60764.514285714286,Weekly
2021-03-20,60921.84285714286,Weekly
2021-03-21,61079.171428571426,Weekly
2021-03-22,61236.5,Weekly
2021-03-23,61295.385714285716,Weekly
2021-03-24,61354.271428571425,Weekly
2021-03-25,61413.15714285714,Weekly
2021-03-26,61472.04285714286,Weekly
2021-03-27,61530.92857142857,Weekly
2021-03-28,61589.81428571428,Weekly
2021-03-29,61648.7,Weekly
2021-03-30,61617.81428571428,Weekly
2021-03-31,61586.92857142857,Weekly
2021-04-01,61556.04285714286,Weekly
2021-04-02,61525.15714285714,Weekly
2021-04-03,61494.271428571425,Weekly
2021-04-04,61463.385714285716,Weekly
2021-04-05,61432.5,Weekly
2021-04-06,61634.95,Weekly
2021-04-07,61837.4,Weekly
2021-04-08,62039.85,Weekly
2021-04-09,62242.3,Weekly
2021-04-10,62444.75,Weekly
2021-04-11,62647.200000000004,Weekly
2021-04-12,62849.7,Weekly
2021-04-13,62681.7,Weekly
2021-04-14,62513.7,Weekly
2021-04-15,62345.7,Weekly
2021-04-16,62177.7,Weekly
2021-04-17,62009.7,Weekly
2021-04-18,61841.7,Weekly
2021-04-19,61673.7,Weekly
2021-04-20,61578.18571428571,Weekly
2021-04-21,61482.671428571426,Weekly
2021-04-22,61387.15714285714,Weekly
2021-04-23,61291.642857142855,Weekly
2021-04-24,61196.12857142857,Weekly
2021-04-25,61100.614285714284,Weekly
2021-04-26,61005.1,Weekly
2021-04-27,61239.68571428571,Weekly
2021-04-28,61474.271428571425,Weekly
2021-04-29,61708.85714285714,Weekly
2021-04-30,61943.44285714286,Weekly
2021-05-01,62178.02857142857,Weekly
2021-05-02,62412.614285714284,Weekly
2021-05-03,62647.2,Weekly
2021-05-04,62364.32142857143,Weekly
2021-05-05,62081.44285714286,Weekly
2021-05-06,61798.56428571429,Weekly
2021-05-07,61515.68571428571,Weekly
2021-05-08,61232.80714285714,Weekly
2021-05-09,60949.92857142857,Weekly
2021-05-10,60667.1,Weekly
2021-05-11,60600.671428571426,Weekly
