Date,Close,Period
2021-02-15,135.6,Weekly
2021-02-16,135.41671428571428,Weekly
2021-02-17,135.23342857142856,Weekly
2021-02-18,135.05014285714284,Weekly
2021-02-19,134.86685714285716,Weekly
2021-02-20,134.68357142857144,Weekly
2021-02-21,134.50028571428572,Weekly
2021-02-22,134.317,Weekly
2021-02-23,134.17414285714287,Weekly
2021-02-24,134.03128571428573,Weekly
2021-02-25,133.8884285714286,Weekly
2021-02-26,133.74557142857142,Weekly
2021-02-27,133.60271428571428,Weekly
2021-02-28,133.45985714285715,Weekly
2021-03-01,133.317,Weekly
2021-03-02,133.25071428571428,Weekly
2021-03-03,133.18442857142858,Weekly
2021-03-04,133.11814285714286,Weekly
2021-03-05,133.05185714285716,Weekly
2021-03-06,132.98557142857143,Weekly
2021-03-07,132.91928571428573,Weekly
2021-03-08,132.853,Weekly
2021-03-09,132.75528571428572,Weekly
2021-03-10,132.65757142857143,Weekly
2021-03-11,132.55985714285714,Weekly
2021-03-12,132.46214285714288,Weekly
2021-03-13,132.3644285714286,Weekly
2021-03-14,132.2667142857143,Weekly
2021-03-15,132.169,Weekly
2021-03-16,132.21742857142857,Weekly
2021-03-17,132.26585714285716,Weekly
2021-03-18,132.31428571428572,Weekly
2021-03-19,132.3627142857143,Weekly
2021-03-20,132.41114285714286,Weekly
2021-03-21,132.45957142857145,Weekly
2021-03-22,132.508,Weekly
2021-03-23,132.406,Weekly
2021-03-24,132.304,Weekly
2021-03-25,132.202,Weekly
2021-03-26,132.10000000000002,Weekly
2021-03-27,131.99800000000002,Weekly
2021-03-28,131.89600000000002,Weekly
2021-03-29,131.794,Weekly
2021-03-30,131.89514285714287,Weekly
2021-03-31,131.99628571428573,Weekly
2021-04-01,132.0974285714286,Weekly
2021-04-02,132.19857142857143,Weekly
2021-04-03,132.2997142857143,Weekly
2021-04-04,132.40085714285715,Weekly
2021-04-05,132.502,Weekly
2021-04-06,132.56828571428574,Weekly
2021-04-07,132.63457142857143,Weekly
2021-04-08,132.70085714285716,Weekly
2021-04-09,132.76714285714286,Weekly
2021-04-10,132.83342857142858,Weekly
2021-04-11,132.89971428571428,Weekly
2021-04-12,132.966,Weekly
2021-04-13,132.97728571428573,Weekly
2021-04-14,132.98857142857142,Weekly
2021-04-15,132.99985714285714,Weekly
2021-04-16,133.01114285714286,Weekly
2021-04-17,133.02242857142858,Weekly
2021-04-18,133.03371428571427,Weekly
2021-04-19,133.045,Weekly
2021-04-20,132.9855714285714,Weekly
2021-04-21,132.92614285714285,Weekly
2021-04-22,132.86671428571427,Weekly
2021-04-23,132.8072857142857,Weekly
2021-04-24,132.74785714285713,Weekly
2021-04-25,132.68842857142857,Weekly
2021-04-26,132.629,Weekly
2021-04-27,132.70871428571428,Weekly
2021-04-28,132.78842857142857,Weekly
2021-04-29,132.86814285714286,Weekly
2021-04-30,132.94785714285715,Weekly
2021-05-01,133.02757142857143,Weekly
2021-05-02,133.10728571428572,Weekly
2021-05-03,133.187,Weekly
2021-05-04,133.13657142857144,Weekly
