Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-25,5017.91,es,0,0,0,0,0,0,0.27690254982368,0,0,0,-0.22344543374409515,2.7690254982368,-1.6138922078281754,1.6984242435841788,-11.335866578396477,2.666864890301915,-0.004616750951051074,0.11710617717836463,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.508780740154475e-4,1,2.0530994323992418,2.391675384770617,-0.0831,0.0231,2030.4761904761906,6502.03592820589
2024-04-24,5041.13,es,0,0,0,0,0,0,0.27157963660221035,0,0,0,-0.18174153674448654,2.715796366022104,-1.3384032692457573,1.6196969100107157,-11.169404085759986,2.9903158955469586,-0.007677061272769237,0.11885146152895,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.345215971505019e-4,1,2.3070411047994144,2.6768187211121828,-0.0831,0.0231,2030.4761904761906,6406.556231057384
2024-04-23,5079.98,es,0,0,0,0,0,0,0.26921102496687527,0,0,0,-0.20697712246393757,2.692110249668753,-1.537657103674746,1.4451249729199191,-11.157316351153426,2.8058862175504253,0.013979199718288982,0.11898022411659637,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.27243225363576e-4,1,2.0420825281515125,2.6343945010991967,-0.0831,0.0231,2030.4761904761906,6399.62293803043
2024-04-22,5009.46,es,0,0,0,0,0,0,0.2882184637845611,0,0,0,-0.42202081621618837,2.882184637845611,-2.9284787010150914,1.176343562222769,-11.779249351236796,1.3968146264868921,0.0050692602443973556,0.11269818308588699,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.856501015135331e-4,1,0.41231261842706957,1.9157117590510844,-0.0831,0.0231,2030.4761904761906,6756.351793606901
2024-04-21,4984.13,es,0,0,0,0,0,0,0.2862418088841603,0,0,0,-0.4226904685066118,2.862418088841603,-2.9533803615506855,0.734372017407772,-11.639312598686837,1.5146298085719518,0.0037186869470495765,0.11405312717090958,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.795761512529913e-4,1,0.5109547981103859,2.0134282161762007,-0.0831,0.0231,2030.4761904761906,6676.086752865305
2024-04-19,4965.63,es,0,0,0,0,0,0,0.28240594582230466,0,0,0,-0.3651729080370315,2.8240594582230467,-2.5861559463539443,0.31154900532169194,-11.440713115943202,2.1163741268388296,-0.007307650742037097,0.11603297683866076,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.677891461266858e-4,1,1.1556621642850824,2.371628047112967,-0.0831,0.0231,2030.4761904761906,6562.173893782865
2024-04-18,5002.05,es,0,0,0,0,0,0,0.27981737619430025,0,0,0,-0.2742996213467398,2.7981737619430027,-1.9605617426436803,-0.14210626480306585,-11.41898787109576,3.166464744424506,-0.005110816699730236,0.11625373588146333,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.598348779520745e-4,1,2.285304279923401,2.99213696078411,-0.0831,0.0231,2030.4761904761906,6549.7127094904945
2024-04-17,5027.68,es,0,0,0,0,0,0,0.2748522238442491,0,0,0,-0.16427738009134732,2.7485222384424906,-1.1953869449820322,-0.7407897686185693,-11.273837909068178,4.41346457886733,-0.007436952741276315,0.11775049550182173,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.445777440921842e-4,1,3.6748068447834483,3.680967453328769,-0.0831,0.0231,2030.4761904761906,6466.457471652774
2024-04-16,5065.21,es,0,0,0,0,0,0,0.2722680803229842,0,0,0,-0.06347861973941002,2.722680803229842,-0.4662949815057796,-1.53185455023787,-11.251206303018622,5.76980378462054,8.947362260922631e-4,0.1179873485782445,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.366370766488782e-4,1,5.13125079592989,4.485088845104343,-0.0831,0.0231,2030.4761904761906,6453.4764159364295
2024-04-15,5060.68,es,0,0,0,0,0,0,0.443973960814284,0,0,0,0.024198138952102027,4.4397396081428395,0.10900701882480085,-2.5360937656349303,-10.99822321011414,6.912501179640937,-0.015577509354052665,0.12070131462500325,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.185573782499607e-4,1,6.172459921958589,5.348375377442972,-0.0831,0.0231,2030.4761904761906,10513.95026632739
2024-04-14,5140.13,es,0,0,0,0,0,0,0.4694399883658805,0,0,0,0.24355283926192287,4.6943998836588055,1.0376314131641393,-3.577675965321131,-11.811643698101772,9.07816838259697,0.0032151987603104004,0.1123890995978265,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.655092416179024e-4,1,8.602310258002946,6.527970379658672,-0.0831,0.0231,2030.4761904761906,11291.554284078997
2024-04-12,5123.63,es,0,0,0,0,0,0,0.4623317280740535,0,0,0,0.309569150370977,4.623317280740535,1.3391646368747252,-4.4643218380695044,-11.595450114408711,9.815438825405408,-0.014668522239318804,0.11448455962485017,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,8.524037007034655e-4,1,9.179732918188904,7.17933179082011,-0.0831,0.0231,2030.4761904761906,11084.880120132442
2024-04-11,5199.34,es,0,0,0,0,0,0,0.4897574762120039,0,0,0,0.5089093708777593,4.897574762120039,2.078209708257583,-5.454878730351884,-12.464803770412175,11.730787528058807,0.009336941137917165,0.10649987151431133,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.029687123342602e-4,1,11.099902345683786,8.45141020108089,-0.0831,0.0231,2030.4761904761906,11915.9544608191
2024-04-10,5151.02,es,0,0,0,0,0,0,0.5047997498801544,0,0,0,0.4574759286856212,5.047997498801545,1.8125045774853552,-5.979802920147823,-12.728244836941595,11.770696648525183,-0.011891691960300932,0.10429560532550047,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.307022399360523e-4,1,11.03721627745377,8.580611470088204,-0.0831,0.0231,2030.4761904761906,12167.795709963002
2024-04-09,5212.64,es,0,0,0,0,0,0,0.5269018140909691,0,0,0,0.720796736119042,5.269018140909691,2.7359812277837294,-6.511117581839036,-13.44446669577087,13.62576710918326,0.0013706863447566775,0.09873950600194369,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.714519444933529e-4,1,12.679905404891159,10.029706443747605,-0.0831,0.0231,2030.4761904761906,12852.480941343154
2024-04-08,5205.5,es,0,0,0,0,0,0,0.5168317749379967,0,0,0,0.6987269296876537,5.168317749379967,2.703885339756746,-6.893886950296899,-13.169455242745013,13.63685154952995,-6.970963244974371e-4,0.10080143601469871,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.528857546366024e-4,1,12.62256788187347,10.105518034009782,-0.0831,0.0231,2030.4761904761906,12589.578772097737
2024-04-07,5209.13,es,0,0,0,0,0,0,0.5054025995219817,0,0,0,0.6937370557946552,5.054025995219817,2.745284873686061,-7.357348786983341,-12.887207485780062,13.782657967963116,6.240992770027987e-4,0.10300912757591459,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.31813717333033e-4,1,12.715794201800335,10.255302411471524,-0.0831,0.0231,2030.4761904761906,12319.758927308356
2024-04-05,5205.88,es,0,0,0,0,0,0,0.4947495406891943,0,0,0,0.6603588185017298,4.947495406891943,2.6694671311138114,-7.870670411615084,-12.607695354760802,13.798472391339692,0.010432882508791153,0.10529283605339669,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.121726106957978e-4,1,12.678571980130723,10.318882005435432,-0.0831,0.0231,2030.4761904761906,12052.554253587134
2024-04-04,5151.85,es,0,0,0,0,0,0,0.5174083673311123,0,0,0,0.6455933584041693,5.174083673311122,2.4954886668503597,-8.430410738900616,-13.048266280210042,14.066656732022475,-0.014540931942921276,0.1017376539911194,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.539488213911523e-4,1,12.985566442064325,10.458861444639801,-0.0831,0.0231,2030.4761904761906,12473.725992918937
2024-04-03,5227.31,es,0,0,0,0,0,0,0.5684066935397244,0,0,0,1.0231924123519667,5.684066935397244,3.6002123971485513,-8.8307659323815475,-14.544325761894656,16.48782904333617,0.004121495858294466,0.09127270811535161,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.001047974732550208,1,15.62419042522715,11.855524646999802,-0.0831,0.0231,2030.4761904761906,13903.911095130217
2024-04-02,5205.81,es,0,0,0,0,0,0,0.5655446012489597,0,0,0,1.1170231527589793,5.655446012489597,3.9502566209353738,-8.725712494529345,-14.411571068679292,16.83565060951815,-0.0055686118676696594,0.09211348253939222,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010426978763185026,1,15.959846096172697,12.099571586357555,-0.0831,0.0231,2030.4761904761906,13777.001846661398
2024-04-01,5234.88,es,0,0,0,0,0,0,0.5626588142724961,0,0,0,1.383337101154793,5.6265881427249615,4.9171436261721535,-8.600201080026647,-14.418099254335711,18.06534166874405,-0.007625279220551562,0.09207177566077604,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010373773340567232,1,17.18751948752905,12.921383293711033,-0.0831,0.0231,2030.4761904761906,13783.242583734078
2024-03-31,5274.95,es,0,0,0,0,0,0,0.5698831840750122,0,0,0,1.556098836836578,5.698831840750121,5.461115120855201,-8.499685628842323,-14.715002596367409,18.8888309404118,0.005383234911661816,0.09021405136059649,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.001050696946752499,1,18.06163547634788,13.419749424338457,-0.0831,0.0231,2030.4761904761906,14067.072699962027
2024-03-28,5246.63,es,0,0,0,0,0,0,0.5731227098839661,0,0,0,1.4969166313469202,5.73122709883966,5.223721222458573,-8.385185459260242,-14.719200099733412,18.51715440944159,3.641094846891235e-4,0.09018832484137797,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.001056669679360706,1,17.641353534311232,13.220570481424756,-0.0831,0.0231,2030.4761904761906,14071.085379173004
2024-03-27,5244.72,es,0,0,0,0,0,0,0.5615154884767798,0,0,0,1.4809392057510942,5.615154884767797,5.274793789814884,-8.205336583451798,-14.415848217139368,18.34365078671543,0.004948617407016798,0.09208615268449494,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010352693776258758,1,17.577546616548464,12.995204694643922,-0.0831,0.0231,2030.4761904761906,13781.09066403961
2024-03-26,5218.83,es,0,0,0,0,0,0,0.5620185963730344,0,0,0,1.449673649234724,5.620185963730344,5.158810254999168,-8.118451341114175,-14.357538506020958,18.11640859689979,-0.001106915075906656,0.09246013858457014,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010361969605854257,1,17.475244686490232,12.718769641676088,-0.0831,0.0231,2030.4761904761906,13725.348441770551
2024-03-25,5224.61,es,0,0,0,0,0,0,0.5501294021435823,0,0,0,1.5426758495424735,5.501294021435823,5.608410834001704,-7.919797540009291,-14.069377667371716,18.472468715692777,-0.0017727229126993649,0.09435385355235748,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010142767839153442,1,17.89536700906626,12.892080850421701,-0.0831,0.0231,2030.4761904761906,13449.875879668418
2024-03-24,5233.88,es,0,0,0,0,0,0,0.5386694791849042,0,0,0,1.6102470313650428,5.386694791849042,5.9786087520741376,-7.70361927863183,-13.800737135691982,18.723656543260756,6.689436482876232e-4,0.09619051409701658,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.931480571882241e-4,1,18.195619933818286,13.010474304949643,-0.0831,0.0231,2030.4761904761906,13193.06410783576
2024-03-22,5230.38,es,0,0,0,0,0,0,0.5277185979268073,0,0,0,1.6176754113908722,5.277185979268073,6.130825852058518,-7.514786991222219,-13.511133837161848,18.687394883603393,-0.0034831569874107515,0.09825230184226011,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.729578536102625e-4,1,18.16766749520426,12.977990644134731,-0.0831,0.0231,2030.4761904761906,12916.21260013858
2024-03-21,5248.63,es,0,0,0,0,0,0,0.5182609029190492,0,0,0,1.6121090663350013,5.182609029190492,6.221225862321348,-7.295982684688605,-13.315287844500247,18.60060308102289,0.001355557563760712,0.0996974316667372,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.555206462217045e-4,1,17.990438578379848,13.010566556658304,-0.0831,0.0231,2030.4761904761906,12728.99008361337
2024-03-20,5241.52,es,0,0,0,0,0,0,0.5082823383380213,0,0,0,1.449299121510791,5.082823383380212,5.702732564935077,-7.092459974159123,-13.041225965011623,17.67048638949881,0.01290940093353754,0.10179257713665549,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,9.371231085662003e-4,1,16.786585145836042,12.664225503328636,-0.0831,0.0231,2030.4761904761906,12466.99567635404
2024-03-19,5174.29,es,0,0,0,0,0,0,0.5565534137164118,0,0,0,1.3153056635642346,5.565534137164119,4.7266107121011744,-6.8506864983151,-14.096580315885227,16.775781023235062,0.005519340374434023,0.09417177572521329,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010261207714799716,1,15.782319115788168,12.17731592293694,-0.0831,0.0231,2030.4761904761906,13475.880743192229
2024-03-18,5145.81,es,0,0,0,0,0,0,0.5589163074763667,0,0,0,1.1936922748706875,5.5891630747636665,4.271452662601589,-6.677373268423691,-14.07850959969117,16.073211650859548,0.004829153336853409,0.0942926515480815,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010304772524719749,1,15.248063146456811,11.540622938309102,-0.0831,0.0231,2030.4761904761906,13458.605715425332
2024-03-17,5121.02,es,0,0,0,0,0,0,0.5582959668895409,0,0,0,1.2224469175792028,5.58295966889541,4.379207409968858,-6.388941998938602,-13.99513576963397,16.030982097578097,4.883031951976591e-4,0.09485438525579372,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.001029333526917794,1,15.228614717984895,11.4896887779786,-0.0831,0.0231,2030.4761904761906,13378.902995632514
2024-03-15,5118.52,es,0,0,0,0,0,0,0.5468744203874514,0,0,0,1.4094682326400485,5.468744203874515,5.154632142572929,-6.073878157559783,-13.702132667668248,16.76084826937792,-0.005706046751074112,0.09688272856475753,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.001008275555087277,1,15.8496089433483,12.08513817228157,-0.0831,0.0231,2030.4761904761906,13098.801384390956
2024-03-14,5147.81,es,0,0,0,0,0,0,0.5430269944772722,0,0,0,1.678509747102233,5.430269944772722,6.182049011091971,-5.726060266049781,-13.68359091696172,17.947557606295046,-0.004771215922332317,0.09701400809596519,1.06849,0.047619047619047616,Index,1,0.1,0.001,0.5,0,0.0010011820335206715,1,16.915715032539982,12.996880977951767,-0.0831,0.0231,2030.4761904761906,13081.076062668097
