Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-26,45.02,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-12.644087145132257,-2.246562093601422,-6.649382815005583,-12.410810405872843,0.003560306386524381,0.23907482005886965,1.06849,0,Future,0.01,2000,1,0.09,0,0.008361865567879856,1,-11.345964857676904,-9.338719152111166,-0.093588,0.033588,0,0
2024-04-25,44.86,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-12.77473548844503,-2.2519149295482284,-6.525021846475205,-12.644512263248322,0.0050282244607364746,0.2436313682012805,1.06849,0,Future,0.01,2000,1,0.09,0,0.008234742740525667,1,-11.662056410520124,-9.412130694893744,-0.093588,0.033588,0,0
2024-04-24,44.635,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-12.8073165375946,-2.2472260419923558,-6.410150444714779,-12.747733806772567,-0.01211407247610552,0.24799729955023456,1.06849,0,Future,0.01,2000,1,0.09,0,0.008130551752440247,1,-11.851360772437232,-9.394862238850381,-0.093588,0.033588,0,0
2024-04-23,45.179,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-12.607418275232785,-2.280623358164694,-6.369872659002551,-12.48464302506009,0.003236822761282454,0.24956542855739428,1.06849,0,Future,0.01,2000,1,0.09,0,0.00798217916644912,1,-11.604226624160873,-9.203511750939278,-0.093588,0.033588,0,0
2024-04-22,45.033,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-13.004391456922722,-2.474186343804299,-6.246541453360423,-12.978824710647933,0.016614058205782545,0.2544928280504401,1.06849,0,Future,0.01,2000,1,0.09,0,0.007853008760249304,1,-12.172109565081563,-9.459264952664991,-0.093588,0.033588,0,0
2024-04-19,44.291,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-13.708739261851804,-2.694625444978201,-6.275225536421093,-13.79339352510276,0.012267026455106134,0.2533295402330102,1.06849,0,Future,0.01,2000,1,0.09,0,0.008021234048586786,1,-13.26422965018586,-9.724759558318738,-0.093588,0.033588,0,0
2024-04-18,43.751,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-13.590891588729841,-2.8103228450432147,-6.2321093387747375,-13.599972693064144,-0.02460842978652744,0.2550821742021206,1.06849,0,Future,0.01,2000,1,0.09,0,0.008064443719926236,1,-13.167065065456622,-9.499556089650284,-0.093588,0.033588,0,0
2024-04-17,44.841,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-12.766230739813167,-2.784868362552075,-6.465113623348158,-12.396649993467438,7.138873699727988e-4,0.24588894992640903,1.06849,0,Future,0.01,2000,1,0.09,0,0.008162594230820393,1,-11.855506650027975,-8.805576672417756,-0.093588,0.033588,0,0
2024-04-16,44.809,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-12.111454330840711,-2.812345030663002,-6.3347459939992685,-11.575060262123145,-0.008555322562359358,0.25094928849647313,1.06849,0,Future,0.01,2000,1,0.09,0,0.008003708976908393,1,-11.067624073447925,-8.224143030090648,-0.093588,0.033588,0,0
2024-04-15,45.194,zl,0,0,0,0,0,0,2000,0,0,0,-0,0,-11.133749326329845,-2.8149093133501153,-6.247921629518457,-10.31358363033884,-0.008987240543482766,0.254436610166399,1.06849,0,Future,0.01,2000,1,0.09,0,0.007826761991018005,1,-9.729142313713757,-7.460163736850977,-0.093588,0.033588,0,0
