Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-26,365.17,zo,0,0,0,0,0,0,200,0,0,0,0,0,5.646000237473997,1.6846149061414042,13.773224784535433,-0.2009195287064227,0.006676674388412351,0.24049560301369363,1.06849,0,Future,0.01,200,0.01,0.9,0,0.010248027387232303,1,-0.33054068896948924,-0.004325192207881967,0.102496,-0.162496,0,0
2024-04-25,362.74,zo,0,0,0,0,0,0,200,0,0,0,0,0,5.058338737940421,1.424234389768336,13.576529212048774,-0.7559301503213259,-3.5831921112183807e-4,0.2439798823590599,1.06849,0,Future,0.01,200,0.01,0.9,0,0.01016934645114454,1,-0.7565455216868197,-0.5033380621820571,0.102496,-0.162496,0,0
2024-04-24,362.87,zo,0,0,0,0,0,0,200,0,0,0,0,0,4.64103940467251,1.1801125911284704,13.317006520736296,-1.0605070163690375,-0.005304614799777951,0.24873457821336697,1.06849,0,Future,0.01,200,0.01,0.9,0,0.009971380321880777,1,-0.9016418204195393,-0.8658698735288565,0.102496,-0.162496,0,0
2024-04-23,364.8,zo,0,0,0,0,0,0,200,0,0,0,0,0,4.1579943749542005,1.0245291530840044,13.09596055791987,-1.5162523555630036,0.005277057100844473,0.2529329548107721,1.06849,0,Future,0.01,200,0.01,0.9,0,0.009753989016589876,1,-1.1784279603447418,-1.348659298926931,0.102496,-0.162496,0,0
2024-04-22,362.88,zo,0,0,0,0,0,0,200,0,0,0,0,0,3.173656637798463,0.7466726418069726,12.874119460465643,-2.578853867405023,0.010332072578521867,0.2572913829308365,1.06849,0,Future,0.01,200,0.01,0.9,0,0.00963949395392473,1,-2.072766891419734,-2.2253228875886375,0.102496,-0.162496,0,0
2024-04-19,359.15,zo,0,0,0,0,0,0,200,0,0,0,0,0,2.142766940956749,0.44750280842562445,12.74357138504945,-3.738514508795205,0.007209554505087645,0.2599271350169587,1.06849,0,Future,0.01,200,0.01,0.9,0,0.009640843183661589,1,-3.136301868649485,-3.09455564600919,0.102496,-0.162496,0,0
2024-04-18,356.57,zo,0,0,0,0,0,0,200,0,0,0,0,0,1.2656869263333332,0.1976583548973424,12.548238385675404,-4.685365801841929,0.012388165483090852,0.2639733082996982,1.06849,0,Future,0.01,200,0.01,0.9,0,0.009561756793406229,1,-4.0041348232662655,-3.804808179803616,0.102496,-0.162496,0,0
2024-04-17,352.18,zo,0,0,0,0,0,0,200,0,0,0,0,0,0.4723280478627486,0.006692347095021267,12.459768447260402,-5.603459666694047,0.00958637869210932,0.26584763705848125,1.06849,0,Future,0.01,200,0.01,0.9,0,0.009612691745162256,1,-4.888620480044328,-4.450478964445749,0.102496,-0.162496,0,0
2024-04-16,348.82,zo,0,0,0,0,0,0,200,0,0,0,0,0,0.05622655687862252,-0.09037837732668877,12.303495026080087,-6.031589581871869,-0.02793035469771432,0.26922431333361835,1.06849,0,Future,0.01,200,0.01,0.9,0,0.009583559725091416,1,-5.262831798595882,-4.789817504523899,0.102496,-0.162496,0,0
2024-04-15,358.7,zo,0,0,0,0,0,0,200,0,0,0,0,0,0.2696571623161157,-0.142007498730757,12.902393751357845,-6.02065024322539,0.014914121600816621,0.2567275548889061,1.06849,0,Future,0.01,200,0.01,0.9,0,0.009773241899655675,1,-5.18379752297977,-4.8506195490625466,0.102496,-0.162496,0,0
