Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,M,multiple_EMA,multiple_DC,HoldingCostLong,HoldingCostShort,InstCapital,Exposure
2024-04-26,101.127,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-11.463481821249914,9.626434925658168,-18.807241920936978,-10.694238930693814,2.2746265507400665e-4,0.02372756206763186,1.06849,0,Future,1,0.01,0.01,0.03,0,0.012502619459157134,1,-7.223126686919242,-10.600604864237114,-0.04785,-0.01215,0,0
2024-04-25,101.104,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-11.365427501550432,8.973174853498323,-18.43389347230879,-10.42354402599534,-0.0013343680782735845,0.024208125140266882,1.06849,0,Future,1,0.01,0.01,0.03,0,0.012257213786558604,1,-7.0323301007469,-10.340243275912002,-0.04785,-0.01215,0,0
2024-04-24,101.239,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-11.03873789056401,8.745629462562565,-18.376748201798673,-9.902757817800625,-2.567850525698745e-4,0.024283403956980924,1.06849,0,Future,1,0.01,0.01,0.03,0,0.012202922231732811,1,-6.609765768656153,-9.89483059434489,-0.04785,-0.01215,0,0
2024-04-23,101.265,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-11.085449921033632,8.545540963217732,-18.008896040070628,-10.048922356285063,7.804357993759226e-4,0.02477942007145097,1.06849,0,Future,1,0.01,0.01,0.03,0,0.01195558274554325,1,-6.829814573302165,-9.918389353839608,-0.04785,-0.01215,0,0
2024-04-22,101.186,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-11.415164335306535,8.338567416900785,-17.733948649425983,-10.52252849747945,4.3493733634125675e-4,0.02516360055065595,1.06849,0,Future,1,0.01,0.01,0.03,0,0.011782244861273687,1,-7.398374648686118,-10.139172847112969,-0.04785,-0.01215,0,0
2024-04-21,101.142,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-11.409904575680203,8.130527317539261,-17.391465061929487,-10.582737228711823,2.9661708220274363e-5,0.025659137882343017,1.06849,0,Future,1,0.01,0.01,0.03,0,0.011559729111648829,1,-7.5900472541464765,-10.047848127039895,-0.04785,-0.01215,0,0
2024-04-19,101.139,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-11.145461523820654,8,-17.023871409384814,-10.3486796604018,-1.5818561137148635e-4,0.0262131914221341,1.06849,0,Future,1,0.01,0.01,0.03,0,0.011315733233352662,1,-7.493328035928167,-9.754471398074832,-0.04785,-0.01215,0,0
2024-04-18,101.155,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-10.750656147560457,8,-16.663750892634145,-10.002332750430206,-7.609184751506959e-4,0.02677968501060918,1.06849,0,Future,1,0.01,0.01,0.03,0,0.0110746098645579,1,-7.280672346310073,-9.389882237740272,-0.04785,-0.01215,0,0
2024-04-17,101.232,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-10.378814988884944,8,-16.377409663996552,-9.649715153181647,0.0010179828019705184,0.02724789873095855,1.06849,0,Future,1,0.01,0.01,0.03,0,0.010876030606455561,1,-7.051672805391435,-9.031185783244643,-0.04785,-0.01215,0,0
2024-04-16,101.129,zt,0,0,0,0,0,0,0.01,0,0,0,-0,0,-10.359350344225629,8,-16.144479608292805,-9.740227321487767,-9.883474647924828e-4,0.02764102720107363,1.06849,0,Future,1,0.01,0.01,0.03,0,0.010732264404315815,1,-7.2336996439968395,-9.000012558482773,-0.04785,-0.01215,0,0
