Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-22,992.4,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-02-23,992.6757142857143,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013444899273457266,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-02-24,992.9514285714286,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013441165490032957,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-02-25,993.2271428571429,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013437433779868967,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-02-26,993.5028571428571,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013433704141245784,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-02-27,993.7785714285715,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013429976572357915,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-02-28,994.0542857142857,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013426251071528839,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-01,994.33,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0013422527637125014,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-02,994.5771428571429,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0012028429170506526,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-03,994.8242857142857,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0012025440592774571,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-04,995.0714285714286,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0012022453499799467,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-05,995.3185714285714,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0012019467890420543,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-06,995.5657142857143,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0012016483763477126,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-07,995.8128571428571,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0012013501118023483,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-08,996.06,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.001201051995281297,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-09,996.005,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-2.672603555270214e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-10,995.9499999999999,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-2.6727511421388074e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-11,995.895,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-2.6728987452997896e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-12,995.8399999999999,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-2.67304636479615e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-13,995.785,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-2.673194000541912e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-14,995.7299999999999,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-2.6733416526660394e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-15,995.675,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-2.67348932099658e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-16,995.8357142857143,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.811729447023552e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-17,995.9964285714285,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.810468842331274e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-18,996.1571428571428,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.80920864434691e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-19,996.3178571428571,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.807948853027468e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-20,996.4785714285714,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.806689468029048e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-21,996.6392857142856,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.805430489265674e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-22,996.8,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,7.804171916522407e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-23,996.3871428571429,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020050586892112676,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-24,995.9742857142857,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020058896657763016,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-25,995.5614285714286,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020067213314019484,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-26,995.1485714285714,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020075536869565624,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-27,994.7357142857143,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020083867332827054,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-28,994.3228571428571,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0020092204712616277,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-29,993.91,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00201005490174019,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-30,993.5328571428571,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0018369045871395072,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-03-31,993.1557142857142,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0018376020044114938,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-01,992.7785714285714,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0018382999514569675,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-02,992.4014285714286,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0018389984288906547,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-03,992.0242857142857,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0018396974373057872,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-04,991.6471428571429,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0018403969773170914,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-05,991.27,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0018410970495220979,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-06,991.1999999999999,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.417958406858901e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-07,991.13,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.418199796623611e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-08,991.06,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.4184412204776746e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
2021-04-09,990.99,cnh,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-3.418682678421092e-4,NA,7.6909,0.016666666666666666,Cash,1,0.01,0.01,0.3,0,0.15,NA,NA,NA,NA,822.5,NA
