Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,3903.2,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-16,3889.9957142857143,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.016401180300371934,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-17,3876.7914285714282,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.016456947577974078,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-18,3863.5871428571427,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.016513095389518995,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-19,3850.382857142857,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01656962764328014,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-20,3837.1785714285716,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01662654830119699,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-21,3823.9742857142855,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.016683861379880937,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-22,3810.77,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01674157095147507,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-23,3815.305714285714,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0057573149163188475,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-24,3819.8414285714284,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005750474565719656,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-25,3824.3771428571426,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005743650450078377,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-26,3828.9128571428573,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005736842511662345,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-27,3833.4485714285715,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005730050693022619,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-02-28,3837.9842857142858,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005723274936950986,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-01,3842.52,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.005716515186557344,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-02,3856.917142857143,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0181006095252544,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-03,3871.3142857142857,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.018033169084932296,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-04,3885.7114285714288,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.017966229327764933,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-05,3900.1085714285714,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01789978469868366,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-06,3914.5057142857145,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.017833829724537436,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-07,3928.902857142857,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.017768359012476507,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-08,3943.3,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.017703367248645564,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-09,3938.25,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006202334146161163,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-10,3933.2000000000003,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006210292475578001,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-11,3928.15,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006218271254179228,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-12,3923.1,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006226270560924902,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-13,3918.0499999999997,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00623429047509319,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-14,3913,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006242331076452316,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-15,3907.95,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006250392445131609,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-16,3917.2785714285715,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011539677516239237,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-17,3926.6071428571427,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011512229689610578,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-18,3935.9357142857143,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01148491212585597,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-19,3945.2642857142855,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011457723899877195,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-20,3954.592857142857,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011430664095285365,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-21,3963.9214285714284,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011403731804349348,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
2021-03-22,3973.25,es,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011376926127858197,NA,1.061909,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,NA,NA,NA,NA,1891.5555555555554,NA
