Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-22,20304.79,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-02-23,20273.98,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0073496771171274134,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-02-24,20243.170000000002,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007360854785805841,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-02-25,20212.36,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00737206650511439,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-02-26,20181.55,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007383312430909754,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-02-27,20150.739999999998,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007394592719951376,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-02-28,20119.93,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007405907529978819,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-01,20089.12,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.007417257019720367,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-02,20060.72142857143,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006846807048068584,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-03,20032.322857142855,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006856506466380238,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-04,20003.924285714285,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006866233404730408,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-05,19975.525714285715,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006875987980415701,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-06,19947.127142857145,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006885770311377541,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-07,19918.72857142857,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006895580516253759,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-08,19890.33,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006905418714361389,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-09,19899.41,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.002208971496813703,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-10,19908.49,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0022079637841842725,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
2021-03-11,19917.57,jpy,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0022069569905487896,NA,157.878006,0.016666666666666666,Cash,1,0.01,0.01,2,5,0,2.5,NA,NA,NA,NA,857.5,NA
