Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,3.142,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-16,3.106642857142857,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.054773621001174874,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-17,3.071285714285714,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05540058868812763,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-18,3.0359285714285713,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05604207593809172,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-19,3.0005714285714284,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05669859304015465,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-20,2.9652142857142856,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.057370674479237174,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-21,2.9298571428571427,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05805888038740562,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-22,2.895,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.05792780189880667,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-23,2.8799285714285716,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02526295485633465,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-24,2.8648571428571428,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02539551003979092,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-25,2.8497857142857144,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02552946360270779,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-26,2.8347142857142855,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.025664837790605553,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-27,2.819642857142857,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.025801655323357008,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-02-28,2.8045714285714283,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.02593993940791184,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-01,2.79,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0252122525070446,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-02,2.7715,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03220006482487174,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-03,2.753,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03241572439149912,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-04,2.7345,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.032634292201974356,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-05,2.7159999999999997,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.032855827483886185,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-06,2.6975,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03308039108407728,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-07,2.679,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03330804552437588,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-08,2.661,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03262933706389024,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-09,2.6502142857142856,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0196576248273672,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-10,2.6394285714285717,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01973778982796387,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
2021-03-11,2.6286428571428573,ng,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.019818611342365927,NA,1.050862,0.05,Future,1,100,0.1,0.003,0,0.0015,NA,NA,NA,NA,1849.2,NA
