Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-22,936.64,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-02-23,939.7621428571429,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.016106553098447166,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-02-24,942.8842857142857,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.016053131434873188,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-02-25,946.0064285714286,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.016000062974427322,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-02-26,949.1285714285714,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015947344225766536,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-02-27,952.2507142857143,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015894971743450198,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-02-28,955.3728571428571,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01584294212711903,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-01,958.495,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.015791252020811584,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-02,959.8678571428571,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0069273961190596724,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-03,961.2407142857143,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00691749524346271,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-04,962.6135714285714,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006907622628833998,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-05,963.9864285714286,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.006897778154343328,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-06,965.3592857142858,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0068879616998439985,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-07,966.7321428571429,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0068781731458814116,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-08,968.105,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.00686841237367588,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-09,966.9057142857143,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.005999495049328729,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-10,965.7064285714285,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006006941044718133,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-11,964.5071428571429,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00601440554557545,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-12,963.3078571428572,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00602188862099073,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-13,962.1085714285715,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006029390340363534,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-14,960.9092857142857,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0060369107734631194,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-15,959.71,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.006044449990406946,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
2021-03-16,960.2,nok,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0024705325265140486,NA,11.50488,0.011904761904761904,Cash,1,0.01,0.01,2,0.6,0,0.3,NA,NA,NA,NA,612.5,NA
