Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Decimals,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-22,1016.09,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-02-23,1015.6392857142857,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002147389609411476,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-02-24,1015.1885714285714,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0021483427765690167,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-02-25,1014.7378571428571,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0021492967902688063,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-02-26,1014.2871428571428,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002150251651641426,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-02-27,1013.8364285714285,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002151207361821754,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-02-28,1013.3857142857142,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002152163921936072,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-03-01,1012.935,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00215312133311496,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-03-02,1012.6542857142857,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001341493224848378,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
2021-03-03,1012.3735714285714,nzd,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001341865146956387,NA,1.80213,0.011904761904761904,Cash,1,0.01,0.01,2,0.5,0,0.25,NA,NA,NA,NA,612.5,NA
