Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,1277.82,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-16,1265.3742857142856,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04737171544826022,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-17,1252.9285714285713,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04783995491139549,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-18,1240.482857142857,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04831754336247268,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-19,1228.037142857143,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04880476362370615,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-20,1215.5914285714287,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04930191004141182,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-21,1203.1457142857143,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.04980928907899429,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-22,1190.7,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.050327219946955035,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-23,1181.7992857142858,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.036315845921100764,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
2021-02-24,1172.8985714285714,pl,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.03659039497637604,NA,1.078283,0,Future,1,0.7,0.01,1,0,NA,NA,NA,NA,NA,0,NA
