Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,347.43,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-16,348.83,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.019464019567431875,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-17,350.23,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01938605859011325,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-18,351.63,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01930871965026082,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-19,353.03000000000003,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.019231995332752376,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-20,354.43,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0191558783398483,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-21,355.83000000000004,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0190803614889003,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-22,357.23,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.019005437710068768,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-23,360.17857142857144,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0397853235683937,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-24,363.12714285714287,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.039460948491481955,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-25,366.0757142857143,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.039141820014157634,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-26,369.0242857142857,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03882781186533691,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-27,371.97285714285715,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.038518801793745644,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-02-28,374.9214285714286,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.038214671409135224,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-01,377.87,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03791530603112015,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-02,376.84000000000003,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.013210910402963058,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-03,375.81,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.013247068656282862,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-04,374.78000000000003,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.013283425383179689,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-05,373.75,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.013319982222298243,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-06,372.72,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.013356740830359612,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-07,371.69,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.013393702882423498,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-08,370.66,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01343087007216333,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-09,369.4857142857143,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01535791538414994,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-10,368.31142857142856,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.015406803106797148,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-11,367.13714285714286,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.015456003065014769,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-12,365.96285714285716,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.015505518259654636,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-13,364.78857142857146,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.015555351730154463,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-14,363.6142857142857,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01560550655516117,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-15,362.44,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.01565598585313701,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-16,363.4642857142857,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013658952688277388,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-17,364.48857142857145,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013620514241433845,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-18,365.5128571428572,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013582291531312584,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-19,366.53714285714284,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013544282746758717,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-20,367.56142857142856,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013506486096830236,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-21,368.5857142857143,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013468899810514294,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-22,369.61,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013431522136473575,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-23,369.39,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002881732155498575,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-24,369.17,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002883448958763921,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-25,368.95,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0028851678088434693,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-26,368.73,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002886888709382589,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-27,368.51,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002888611664061038,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-28,368.29,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002890336676558576,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-29,368.07,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.002892063750563558,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-30,368.4042857142857,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004393752774917061,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-03-31,368.73857142857145,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004389767742781778,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-01,369.0728571428572,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.0043857899327619165,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-02,369.40714285714284,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004381819325242127,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-03,369.74142857142857,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004377855900675839,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-04,370.0757142857143,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004373899639593865,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-05,370.41,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.004369950522582897,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-06,371.4614285714286,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013719136489148872,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-07,372.5128571428572,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013680359043230722,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-08,373.56428571428575,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013641800190232622,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-09,374.61571428571426,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013603458087003837,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-10,375.66714285714284,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013565330911049287,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-11,376.7185714285714,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013527416860250127,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-12,377.77,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013489714152580028,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-13,380.5942857142857,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.03605023683696608,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-14,383.4185714285714,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.035783704411575565,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-15,386.24285714285713,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-0.2857896874000629,NA,NA,0.03552108422035534,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-16,389.06714285714287,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-0.4774965611822083,NA,NA,0.03526229075324853,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-17,391.8914285714286,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-0.6388700897727305,NA,NA,0.03500724097421695,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-18,394.7157142857143,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-0.7709876263865939,NA,NA,0.03475585423235092,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-19,397.54,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-0.8752735053809382,NA,NA,0.034508052176895135,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
2021-04-20,398.07,zo,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,-1.00296800655371,NA,NA,0.006448386469368685,NA,1.058985,0.027777777777777776,Future,0.01,200,0.01,0.9,0,0.45,NA,NA,NA,NA,1400,NA
