Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,12.782,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-16,12.778571428571428,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0012984283907877625,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-17,12.775142857142857,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001298776814072653,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-18,12.771714285714285,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0012991254244019146,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-19,12.768285714285714,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0012994742219238553,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-20,12.764857142857142,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.001299823206791082,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-21,12.76142857142857,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013001723791562015,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-22,12.758,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.0013005217391675217,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-23,12.787285714285714,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011097383746274473,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-24,12.816571428571427,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011071997329557614,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-25,12.845857142857142,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011046726795920581,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-26,12.875142857142857,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.011021571353701543,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-27,12.904428571428571,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.010996530218434834,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-02-28,12.933714285714284,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01097160261275853,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
2021-03-01,12.963,zr,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01094678776636071,NA,1.050862,0.04,Future,1,50,0.01,0.04,0,0.02,NA,NA,NA,NA,1479.3600000000001,NA
