Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,AdjFactor,PositionOptimized,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,RiskAdjCost,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2021-02-15,1380.78,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-16,1384.5342857142857,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013141908762379337,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-17,1388.2885714285715,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013106321533592116,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-18,1392.0428571428572,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013070926519112333,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-19,1395.7971428571427,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01303572216583678,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-20,1399.5514285714285,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.013000706937371617,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-21,1403.3057142857142,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01296587931377445,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-22,1407.06,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.012931237791335093,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-23,1410.71,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.012539000614530203,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-24,1414.36,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.012506599715969706,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-25,1418.01,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01247436583440546,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-26,1421.6599999999999,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.01244229768175856,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-27,1425.31,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.012410393983186054,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-02-28,1428.9599999999998,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.012378653476866007,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-01,1432.61,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,0.012347074913864232,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-02,1429.7242857142855,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009759071080239287,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-03,1426.8385714285714,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00977878841983589,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-04,1423.952857142857,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009798585595047803,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-05,1421.067142857143,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.00981846309173214,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-06,1418.1814285714286,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009838421399700897,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-07,1415.2957142857144,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009858461012772537,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
2021-03-08,1412.41,zs,0,0,0,0,0,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,-0.009878582428780583,NA,1.078283,0,Future,0.01,50,0.1,1.5,0,NA,NA,NA,NA,NA,0,NA
