Date,Close,Symbol,PositionRisk,PositionChange,Position,PositionUnrounded,PositionPrevious,Trading,Buffer,RequiredTrade,PositionOptimal,PositionMax,Forecast,ForecastSkew,ForecastCarry,ForecastTrend,Return,Volatility,FX,Weight,Product,ContractSize,PositionMin,PositionTick,Spread,Commission,CostPerTrade,multiple_EMA,multiple_DC,multiple_KF,multiple_TII,InstCapital,Exposure
2023-11-14,3509.75,ca,0,0,0,0,0,FALSE,0.3,0,0,0,17.402055522656337,-0.1595514561011084,6.565032849851338,20,-0.0121771416199099,0.1912854861081825,0.86922,0,Future,1,0.3,1e-4,3.5,0,1.75,20,13.327329069445716,17.51445207516754,19.365079365079367,0,0
2023-11-14,3997.9,cc,710.29,0,0.97,0.97,0.97,FALSE,0.2,-0.01191198804692683,0.9580880119530732,1.5382554062945402,12.456813192823216,-2.8329461636236184,-3.0948584659906535,19.572986571904757,-0.00958398234909907,0.19863428546262205,1.084481,0.05555555555555555,Future,1,0.2,0.01,4,0,2,18.71930520071108,12.585900094499294,16.70856842921271,17.77777777777778,1706.6666666666663,2835.3614719045063
2023-11-14,79.775,cl,302.22,0,12.43,12.43,12.43,FALSE,8,-2.0263113906619292,10.40368860933807,46.327654085749344,4.49135136006738,11.562867476317434,13.690765123299814,-6.638347819718783,0.01236062909027246,0.3305273999842984,1.084481,0.05555555555555555,Future,1,8,0.01,0.025,0,0.0125,-5.3708842718437415,-4.019311061768726,-11.098182024919389,-1.825396825396826,1706.6666666666663,1703.9434552982734
2023-11-14,79.895,ct,828.13,945.87,-4545.39,-4545.386157526658,-5491.26,TRUE,772.8175415251475,945.873842473342,-4545.386157526658,6182.54033220118,-14.703943406086466,-7.1026171465374714,-5.781425860638226,-13.163236371194108,0.02168662131320697,0.2473022286308737,1.084481,0.05555555555555555,Future,0.01,600,0.01,0.15,0,0.075,-11.143248879626883,-7.674930488583101,-14.554977435056864,-10.873015873015872,1706.6666666666663,2277.3753520864507
2023-11-14,4496.7,es,112.44,0,0.19,0.19,0.19,FALSE,0.23793271218583917,0.19511847427853507,0.3851184742785351,1.9034616974867131,4.046506160717986,1.2166902012217282,-10.62380178836598,10.098897341196109,0.01894769896938974,0.1427172711053755,1.084481,0.05555555555555555,Index,1,0.01,0.01,0.5,0,0.25,6.849881826803754,6.45177315675753,13.263266051271572,7.38095238095238,1706.6666666666663,3946.2637958103937
2023-11-14,96.3835,g,0,0,0,0,0,FALSE,0.01,-0,-0,0,-1.0231465442692604,-3.36704135862769,-0.5854579253125016,0.6120542496110821,0.01368474846919554,0.13163029599243237,0.86922,0,Future,1,0.01,0.01,0.02,0,0.01,0.8163272729682385,-0.735355562255525,8.960480482191016,-6.984126984126983,0,0
2023-11-14,1968.36,gc,646.7,0,-3.05,-3.05,-3.05,FALSE,0.6640513992704097,0.0085739064321908,-3.041426093567809,5.3124111941632775,-11.450266112342398,-20,-17.958464575383847,3.7122108045687257,0.01113442794945474,0.11682031563409194,1.084481,0.05555555555555555,Future,1,0.1,0.01,0.3,0,0.15,2.748470829063545,3.449843266664234,-1.2599771242549382,7.5396825396825395,1706.6666666666663,4821.079252722375
2023-11-14,224.24,gf,0,0,0,0,0,FALSE,300,-0,-0,0,-6.882792502291976,14.510549485529491,-17.364501812941185,-7.750080506016789,0.0061596739623484,0.18399399155919924,1.084481,0,Future,0.01,300,0.01,0.2,0,0.1,-6.564189485676133,-3.2246372418516884,-16.420594207729362,0.1587301587301586,0,0
2023-11-14,130.91,gg,264.28,0,-22.49,-22.49,-22.49,FALSE,11.981868031153606,3.3326575520622477,-19.15734244793775,95.85494424922884,-3.9971526973355624,-10.60491156155478,5.435230316572017,-2.7446963072893693,0.00766816118436697,0.08976464134600125,1,0.05555555555555555,Future,1,1,0.01,0.028,0,0.014,-2.3968520341722126,-2.739509887483476,5.1168411875364255,-9.206349206349206,1706.6666666666663,6274.1853758332745
2023-11-14,76.596,he,244.73,0,-1140.73,-1140.73,-1140.73,FALSE,800,347.9924888955044,-792.7375111044956,5250.258077274452,-3.0198039770114566,-1.5230412731371274,2.9399019879130286,-4.734835660069892,-0.01720196959148001,0.3037580857020116,1.084481,0.05555555555555555,Future,0.01,800,0.01,0.1,0,0.05,-5.656056066205341,-4.054064166121097,1.01692847112045,-7.222222222222221,1706.6666666666663,1854.1070230225976
