Date,SPGSCI
1984-01-03,211.869995
1984-01-04,212.820007
1984-01-05,213.559998
1984-01-06,212.080002
1984-01-09,211.910004
1984-01-10,212.679993
1984-01-11,212.199997
1984-01-12,212.429993
1984-01-13,212.970001
1984-01-16,212.600006
1984-01-17,213.369995
1984-01-18,213.639999
1984-01-19,213.520004
1984-01-20,212.279999
1984-01-23,211.179993
1984-01-24,212.220001
1984-01-25,211.729996
1984-01-26,211.860001
1984-01-27,215.020004
1984-01-30,213.380005
1984-01-31,211.529999
1984-02-01,214.910004
1984-02-02,212.770004
1984-02-03,211.320007
1984-02-06,209.860001
1984-02-07,208.779999
1984-02-08,208.639999
1984-02-09,205.690002
1984-02-10,203.350006
1984-02-13,201.039993
1984-02-14,200.479996
1984-02-15,201.720001
1984-02-16,201.75
1984-02-17,202.979996
1984-02-21,202.809998
1984-02-22,203.990005
1984-02-23,203.75
1984-02-24,205.389999
1984-02-27,207.839996
1984-02-28,206.080002
1984-02-29,207.320007
1984-03-01,207.979996
1984-03-02,209.610001
1984-03-05,211.419998
1984-03-06,212.119995
1984-03-07,211.070007
1984-03-08,212.479996
1984-03-09,214.029999
1984-03-12,213.169998
1984-03-13,213.490005
1984-03-14,212.369995
1984-03-15,212.889999
1984-03-16,211.710007
1984-03-19,212.350006
1984-03-20,211.899994
1984-03-21,212.740005
1984-03-22,214.860001
1984-03-23,215.889999
1984-03-26,216.720001
1984-03-27,216.5
1984-03-28,216.369995
1984-03-29,217.080002
1984-03-30,217.179993
1984-04-02,217.979996
1984-04-03,218.839996
1984-04-04,219.399994
1984-04-05,216.949997
1984-04-06,216.199997
1984-04-09,215.979996
1984-04-10,215.509995
1984-04-11,214.899994
1984-04-12,212.309998
1984-04-13,213.139999
1984-04-16,213.470001
1984-04-17,213.270004
1984-04-18,213.869995
1984-04-19,214.259995
1984-04-23,215.699997
1984-04-24,214.630005
1984-04-25,212.649994
1984-04-26,211.619995
1984-04-27,211.160004
1984-04-30,210.720001
1984-05-01,211.190002
1984-05-02,212.850006
1984-05-03,212.789993
1984-05-04,213.5
1984-05-07,212.509995
1984-05-08,212.720001
1984-05-09,213.690002
1984-05-10,214.100006
1984-05-11,213.440002
1984-05-14,213.720001
1984-05-15,213.009995
1984-05-16,215.679993
1984-05-17,216.149994
1984-05-18,218.119995
1984-05-21,218.720001
1984-05-22,217.839996
1984-05-23,216.960007
1984-05-24,217.130005
1984-05-25,216.779999
1984-05-29,215.110001
1984-05-30,215.100006
1984-05-31,214.5
1984-06-01,213.899994
1984-06-04,213.809998
1984-06-05,213.690002
1984-06-06,213.160004
1984-06-07,211.910004
1984-06-08,210.649994
1984-06-11,209.429993
1984-06-12,208.850006
1984-06-13,209.25
1984-06-14,208.940002
1984-06-15,208.910004
1984-06-18,209.240005
1984-06-19,210.350006
1984-06-20,209.809998
1984-06-21,208.399994
1984-06-22,206.970001
1984-06-25,207.559998
1984-06-26,205.690002
1984-06-27,205.710007
1984-06-28,206.429993
1984-06-29,208
1984-07-02,205.860001
1984-07-03,204.729996
1984-07-05,203.279999
1984-07-06,203.270004
1984-07-09,203.520004
1984-07-10,202.699997
1984-07-11,201.020004
1984-07-12,200.839996
1984-07-13,200.479996
1984-07-16,200.369995
1984-07-17,199.820007
1984-07-18,199.240005
1984-07-19,198.720001
1984-07-20,197.869995
1984-07-23,195.75
1984-07-24,193.820007
1984-07-25,192.690002
1984-07-26,191.509995
1984-07-27,190.550003
1984-07-30,190.75
1984-07-31,190.949997
1984-08-01,193.759995
1984-08-02,196.429993
1984-08-03,197.029999
1984-08-06,197.399994
1984-08-07,197.509995
1984-08-08,197.149994
1984-08-09,198.910004
1984-08-10,198.179993
1984-08-13,197.809998
1984-08-14,199
1984-08-15,198.580002
1984-08-16,199.550003
1984-08-17,197.830002
1984-08-20,196.399994
1984-08-21,197.539993
1984-08-22,199.039993
1984-08-23,198.580002
1984-08-24,199.960007
1984-08-27,200.199997
1984-08-28,199.970001
1984-08-29,198.979996
1984-08-30,198.5
1984-08-31,198.639999
1984-09-04,197.979996
1984-09-05,197.460007
1984-09-06,198.600006
1984-09-07,197.899994
1984-09-10,200.020004
1984-09-11,200.360001
1984-09-12,201.169998
1984-09-13,200.979996
1984-09-14,200.669998
1984-09-17,199.479996
1984-09-18,200.070007
1984-09-19,201.039993
1984-09-20,200.660004
1984-09-21,200.389999
1984-09-24,199.789993
1984-09-25,200.160004
1984-09-26,199.979996
1984-09-27,199.850006
1984-09-28,199.160004
1984-10-01,199.869995
1984-10-02,199.940002
1984-10-03,199.910004
1984-10-04,199.929993
1984-10-05,199.190002
1984-10-08,199.160004
1984-10-09,199.800003
1984-10-10,199.889999
1984-10-11,200.039993
1984-10-12,199.270004
1984-10-15,198.789993
1984-10-16,198.600006
1984-10-17,196.470001
1984-10-18,195.039993
1984-10-19,194.559998
1984-10-22,196.320007
1984-10-23,196.970001
1984-10-24,198.289993
1984-10-25,198.449997
1984-10-26,198.919998
1984-10-29,197.440002
1984-10-30,197.339996
1984-10-31,199.330002
1984-11-01,200.949997
1984-11-02,199.910004
1984-11-05,199.919998
1984-11-06,200.649994
1984-11-07,201.550003
1984-11-08,202.770004
1984-11-09,202.679993
1984-11-12,202.679993
1984-11-13,202.929993
1984-11-14,202.929993
1984-11-15,202.960007
1984-11-16,203.649994
1984-11-19,202.529999
1984-11-20,202.940002
1984-11-21,203.229996
1984-11-23,202.850006
1984-11-26,200.449997
1984-11-27,200.139999
1984-11-28,200.210007
1984-11-29,200.589996
1984-11-30,200.600006
1984-12-03,199.75
1984-12-04,200.130005
1984-12-05,200.740005
1984-12-06,200.690002
1984-12-07,198.869995
1984-12-10,197.229996
1984-12-11,197.020004
1984-12-12,196.639999
1984-12-13,196.479996
1984-12-14,196.389999
1984-12-17,196.710007
1984-12-18,196.270004
1984-12-19,195.100006
1984-12-20,194.580002
1984-12-21,196.440002
1984-12-24,197
1984-12-26,197.509995
1984-12-27,195.779999
1984-12-28,195.5
1984-12-31,195.529999
1985-01-02,194.210007
1985-01-03,193.149994
1985-01-04,191.779999
1985-01-07,193.279999
1985-01-08,191
1985-01-09,191.619995
1985-01-10,193.149994
1985-01-11,192.619995
1985-01-14,194.410004
1985-01-15,193.869995
1985-01-16,192.479996
1985-01-17,193.5
1985-01-18,194.160004
1985-01-21,194.380005
1985-01-22,192.039993
1985-01-23,191.970001
1985-01-24,191.440002
1985-01-25,191.550003
1985-01-28,191.990005
1985-01-29,192.610001
1985-01-30,193.229996
1985-01-31,193.779999
1985-02-01,195.410004
1985-02-04,194.990005
1985-02-05,195.919998
1985-02-06,194.279999
1985-02-07,193.330002
1985-02-08,193.639999
1985-02-11,193.690002
1985-02-12,192.020004
1985-02-13,191.520004
1985-02-14,190.869995
1985-02-15,192.240005
1985-02-19,190.539993
1985-02-20,189.75
1985-02-21,189.190002
1985-02-22,188.089996
1985-02-25,185.820007
1985-02-26,187.789993
1985-02-27,188.119995
1985-02-28,188.229996
1985-03-01,189.410004
1985-03-04,190.139999
1985-03-05,189.199997
1985-03-06,191
1985-03-07,191.690002
1985-03-08,191.839996
1985-03-11,191.970001
1985-03-12,192.759995
1985-03-13,193.389999
1985-03-14,192.669998
1985-03-15,192.720001
1985-03-18,194.380005
1985-03-19,196.539993
1985-03-20,195.029999
1985-03-21,197.179993
1985-03-22,198.039993
1985-03-25,197.990005
1985-03-26,199.630005
1985-03-27,199.350006
1985-03-28,198.389999
1985-03-29,197.960007
1985-04-01,197.949997
1985-04-02,197.589996
1985-04-03,197.289993
1985-04-04,198.289993
1985-04-08,198.229996
1985-04-09,198.020004
1985-04-10,197.119995
1985-04-11,194.660004
1985-04-12,191.279999
1985-04-15,191.970001
1985-04-16,190.979996
1985-04-17,189.399994
1985-04-18,189.580002
1985-04-19,190.449997
1985-04-22,190.669998
1985-04-23,189.259995
1985-04-24,189.339996
1985-04-25,188.610001
1985-04-26,188.479996
1985-04-29,188.970001
1985-04-30,187.419998
1985-05-01,186.970001
1985-05-02,185.600006
1985-05-03,183.270004
1985-05-06,183.360001
1985-05-07,183.559998
1985-05-08,184.460007
1985-05-09,186.449997
1985-05-10,187.380005
1985-05-13,187.720001
1985-05-14,187.979996
1985-05-15,188.199997
1985-05-16,187.279999
1985-05-17,187.070007
1985-05-20,187.929993
1985-05-21,187.490005
1985-05-22,187.490005
1985-05-23,188.460007
1985-05-24,189.949997
1985-05-28,187.960007
1985-05-29,187.759995
1985-05-30,186.979996
1985-05-31,187.619995
1985-06-03,187.929993
1985-06-04,186.259995
1985-06-05,184.779999
1985-06-06,185.710007
1985-06-07,185.929993
1985-06-10,184.490005
1985-06-11,184.899994
1985-06-12,184.970001
1985-06-13,184.889999
1985-06-14,184.210007
1985-06-17,183.619995
1985-06-18,183.350006
1985-06-19,183.130005
1985-06-20,181.770004
1985-06-21,181.75
1985-06-24,179.830002
1985-06-25,179.649994
1985-06-26,179.990005
1985-06-27,180.029999
1985-06-28,180.050003
1985-07-01,177.160004
1985-07-02,178.389999
1985-07-03,178.830002
1985-07-05,180.050003
1985-07-08,178.649994
1985-07-09,178.729996
1985-07-10,179.759995
1985-07-11,178.699997
1985-07-12,177.729996
1985-07-15,176.380005
1985-07-16,176.929993
1985-07-17,176.850006
1985-07-18,176.220001
1985-07-19,173.949997
1985-07-22,173.830002
1985-07-23,173.570007
1985-07-24,173.240005
1985-07-25,174.699997
1985-07-26,173.979996
1985-07-29,172.279999
1985-07-30,172.259995
1985-07-31,173.580002
1985-08-01,173.699997
1985-08-02,173.929993
1985-08-05,175.350006
1985-08-06,174.660004
1985-08-07,174.490005
1985-08-08,174.580002
1985-08-09,175.449997
1985-08-12,176.630005
1985-08-13,175.020004
1985-08-14,176.490005
1985-08-15,177.880005
1985-08-16,176.75
1985-08-19,174.570007
1985-08-20,174.259995
1985-08-21,175.270004
1985-08-22,174.710007
1985-08-23,175.660004
1985-08-26,175.199997
1985-08-27,176.320007
1985-08-28,175.729996
1985-08-29,175.020004
1985-08-30,176.509995
1985-09-03,175.679993
1985-09-04,176.050003
1985-09-05,175.850006
1985-09-06,176.850006
1985-09-09,174.759995
1985-09-10,177.529999
1985-09-11,177.410004
1985-09-12,179.479996
1985-09-13,179.429993
1985-09-16,180.509995
1985-09-17,181.75
1985-09-18,183.149994
1985-09-19,183.179993
1985-09-20,183.809998
1985-09-23,185.240005
1985-09-24,186.070007
1985-09-25,186.529999
1985-09-26,187.279999
1985-09-30,188.550003
1985-10-01,189.089996
1985-10-02,190.009995
1985-10-03,191.080002
1985-10-04,190.630005
